file_source,name,missing_fields,severity,field_count,issue_type,issues,description
acs_scholars_progress.csv,ACS High School Chemistry Programs,stem_fields,LOW,1.0,missing_critical_data,,
acs_scholars_progress.csv,U.S. National Chemistry Olympiad (USNCO),stem_fields,LOW,1.0,missing_critical_data,,
aiche_student_progress.csv,AIChE High School Student Membership,stem_fields,LOW,1.0,missing_critical_data,,
codecombat_progress.csv,CodeCombat - Beginner Python Programming,stem_fields,LOW,1.0,missing_critical_data,,
codecombat_progress.csv,CodeCombat - JavaScript Programming,stem_fields,LOW,1.0,missing_critical_data,,
codecombat_progress.csv,CodeCombat - Advanced Computer Science Concepts,stem_fields,LOW,1.0,missing_critical_data,,
codecombat_progress.csv,CodeCombat - Classroom Edition,stem_fields,LOW,1.0,missing_critical_data,,
codeforces_progress.csv,Codeforces - Competitive Programming Contests,stem_fields,LOW,1.0,missing_critical_data,,
codeforces_progress.csv,Codeforces - Educational Rounds,stem_fields,LOW,1.0,missing_critical_data,,
codeforces_progress.csv,Codeforces - Problem Archive,stem_fields,LOW,1.0,missing_critical_data,,
codeforces_progress.csv,Codeforces - Gym (Virtual Contests),stem_fields,LOW,1.0,missing_critical_data,,
codeforces_progress.csv,Codeforces - Global Rating System,stem_fields,LOW,1.0,missing_critical_data,,
doe_science_bowl_progress.csv,DOE National Science Bowl - High School Regional,stem_fields,LOW,1.0,missing_critical_data,,
doe_science_bowl_progress.csv,DOE National Science Bowl - High School National Finals,stem_fields,LOW,1.0,missing_critical_data,,
doe_science_bowl_progress.csv,DOE National Science Bowl - Middle School Regional,stem_fields,LOW,1.0,missing_critical_data,,
doe_science_bowl_progress.csv,DOE National Science Bowl - Middle School National Finals,stem_fields,LOW,1.0,missing_critical_data,,
jshs_progress.csv,Junior Science and Humanities Symposium - Regional Competition,stem_fields,LOW,1.0,missing_critical_data,,
jshs_progress.csv,Junior Science and Humanities Symposium - National Symposium,stem_fields,LOW,1.0,missing_critical_data,,
jshs_progress.csv,JSHS - Independent Research Project Development,stem_fields,LOW,1.0,missing_critical_data,,
jshs_progress.csv,JSHS - Scientific Presentation and Communication,stem_fields,LOW,1.0,missing_critical_data,,
kidztopros_progress.csv,KidzToPros - Summer STEM Camps,stem_fields,LOW,1.0,missing_critical_data,,
kidztopros_progress.csv,KidzToPros - Coding and Programming Camps,stem_fields,LOW,1.0,missing_critical_data,,
kidztopros_progress.csv,KidzToPros - Robotics and Engineering Camps,stem_fields,LOW,1.0,missing_critical_data,,
kidztopros_progress.csv,KidzToPros - After-School STEM Programs,stem_fields,LOW,1.0,missing_critical_data,,
kidztopros_progress.csv,KidzToPros - Specialty Technology Camps,stem_fields,LOW,1.0,missing_critical_data,,
ncssm_online_progress.csv,NCSSM Online - Academic Year STEM Courses,stem_fields,LOW,1.0,missing_critical_data,,
ncssm_online_progress.csv,NCSSM Online - Summer STEM Programs,stem_fields,LOW,1.0,missing_critical_data,,
ncssm_online_progress.csv,NCSSM Online - Advanced Mathematics,stem_fields,LOW,1.0,missing_critical_data,,
ncssm_online_progress.csv,NCSSM Online - Computer Science,stem_fields,LOW,1.0,missing_critical_data,,
ncssm_online_progress.csv,NCSSM Online - Advanced Sciences,stem_fields,LOW,1.0,missing_critical_data,,
regeneron_science_talent_search_progress.csv,Regeneron Science Talent Search - Competition Entry,stem_fields,LOW,1.0,missing_critical_data,,
regeneron_science_talent_search_progress.csv,Regeneron Science Talent Search - Scholar Recognition,stem_fields,LOW,1.0,missing_critical_data,,
regeneron_science_talent_search_progress.csv,Regeneron Science Talent Search - Finalist Competition,stem_fields,LOW,1.0,missing_critical_data,,
regeneron_science_talent_search_progress.csv,Regeneron STS - Independent Research Project Development,stem_fields,LOW,1.0,missing_critical_data,,
acs_programs.csv,ACS ChemClub,,MEDIUM,,invalid_values,Unusual location_type: School-based,
acs_programs.csv,ChemMatters Magazine,,MEDIUM,,invalid_values,Unusual category: Educational Resource,
acs_programs.csv,inChemistry Magazine,,MEDIUM,,invalid_values,Unusual location_type: School-based,
acs_programs.csv,High School Chemistry Student Programs and Resources,,MEDIUM,,invalid_values,Unusual location_type: School-based,
ai4all_programs.csv,AI4ALL at Stanford University,,MEDIUM,,invalid_values,Unusual location_type: Residential,
ai4all_programs.csv,AI4ALL at Carnegie Mellon University,,MEDIUM,,invalid_values,Unusual location_type: Residential,
ai4all_programs.csv,AI4ALL at Princeton University,,MEDIUM,,invalid_values,Unusual location_type: Residential,
ai4all_programs.csv,AI4ALL at UC Berkeley,,MEDIUM,,invalid_values,Unusual location_type: Residential,
ai4all_programs.csv,AI4ALL at Boston University,,MEDIUM,,invalid_values,Unusual location_type: Residential,
ai4all_programs.csv,AI4ALL at University of Michigan,,MEDIUM,,invalid_values,Unusual location_type: Residential,
ai4all_programs.csv,AI4ALL at Simon Fraser University,,MEDIUM,,invalid_values,Unusual location_type: Residential,
ai4all_programs.csv,AI4ALL at Columbia University,,MEDIUM,,invalid_values,Unusual location_type: Residential,
ai4all_programs.csv,AI4ALL at University of Illinois Urbana-Champaign,,MEDIUM,,invalid_values,Unusual location_type: Residential,
ai4all_programs.csv,AI4ALL Open Learning,,MEDIUM,,invalid_values,Unusual category: Online Course,
ai4all_programs.csv,AI4ALL Alumni Network,,MEDIUM,,invalid_values,Unusual category: Alumni Network,
amc_competitions.csv,AMC 8,,MEDIUM,,invalid_values,Unusual location_type: School-based,
amc_competitions.csv,AMC 10,,MEDIUM,,invalid_values,Unusual location_type: School-based,
amc_competitions.csv,AMC 12,,MEDIUM,,invalid_values,Unusual location_type: School-based,
amc_competitions.csv,AIME (American Invitational Mathematics Examination),,MEDIUM,,invalid_values,Unusual location_type: School-based,
amc_competitions.csv,AMC 8 Practice Materials,,MEDIUM,,invalid_values,Unusual category: Study Resources,
amc_competitions.csv,AMC 10/12 Practice Resources,,MEDIUM,,invalid_values,Unusual category: Study Resources,
amc_competitions.csv,AMC School Registration,,MEDIUM,,invalid_values,Unusual location_type: School-based,
amc_competitions.csv,MAA Math Competition Alumni Network,,MEDIUM,,invalid_values,Unusual category: Alumni Network,
ams_student_programs.csv,AMS Student Conference Travel Grants,,MEDIUM,,invalid_values,Unusual location_type: Annual conference (varies by year),
ams_student_programs.csv,AMS Student Chapter Program,,MEDIUM,,invalid_values,Unusual location_type: University campus,
ams_student_programs.csv,AMS Graduate Fellowship in History of Science,,MEDIUM,,invalid_values,Unusual location_type: University research,
ams_student_programs.csv,AMS Summer Policy Colloquium,,MEDIUM,,invalid_values,"Unusual location_type: Washington, D.C.",
ashg_dna_day_programs.csv,DNA Day Essay Contest,,MEDIUM,,invalid_values,Unusual category: Essay Contest,
ashg_dna_day_programs.csv,DNA Day Essay Contest - Grand Prize,,MEDIUM,,invalid_values,Unusual category: Essay Contest,
ashg_dna_day_programs.csv,DNA Day Essay Contest - Runner-Up Awards,,MEDIUM,,invalid_values,Unusual category: Essay Contest,
ashg_dna_day_programs.csv,DNA Day Essay Contest - Honorable Mentions,,MEDIUM,,invalid_values,Unusual category: Essay Contest,
ashg_dna_day_programs.csv,DNA Day Genetics Education Resources,,MEDIUM,,invalid_values,Unusual category: Educational Resources,
ashg_dna_day_programs.csv,ASHG DNA Day Student Activities,,MEDIUM,,invalid_values,Unusual location_type: School-based,
ashg_dna_day_programs.csv,ASHG K-12 Genetics Education Resources Library,,MEDIUM,,invalid_values,Unusual category: Educational Resources,
ashrae_student_programs.csv,ASHRAE Student Member Program,,MEDIUM,,invalid_values,Unusual category: Professional Membership,
ashrae_student_programs.csv,ASHRAE Student Branch Chapter Participation,,MEDIUM,,invalid_values,Unusual category: Student Chapter; Unusual location_type: Regional,
ashrae_student_programs.csv,ASHRAE Student Conference Experience,,MEDIUM,,invalid_values,Unusual category: Conference; Unusual location_type: National,
ashrae_student_programs.csv,ASHRAE Research and Technical Resources,,MEDIUM,,invalid_values,Unusual category: Technical Resources,
botball_programs.csv,Botball Educational Robotics Program,,MEDIUM,,invalid_values,Unusual location_type: School-based,
botball_programs.csv,Botball Regional Tournament,,MEDIUM,,invalid_values,Unusual location_type: Regional,
botball_programs.csv,Botball Global Conference on Educational Robotics (GCER),,MEDIUM,,invalid_values,Unusual category: International Championship; Unusual location_type: National,
botball_programs.csv,Botball Middle School Division,,MEDIUM,,invalid_values,Unusual location_type: School-based,
botball_programs.csv,Botball High School Division,,MEDIUM,,invalid_values,Unusual location_type: School-based,
botball_programs.csv,Botball Educator Workshops,,MEDIUM,,invalid_values,Unusual category: Professional Development; Unusual location_type: Regional,
botball_programs.csv,Botball Online Resources and Curriculum,,MEDIUM,,invalid_values,Unusual category: Online Resources,
botball_programs.csv,Botball Jr. for Elementary Students,,MEDIUM,,invalid_values,Unusual location_type: School-based,
botball_programs.csv,Botball Alumni Network,,MEDIUM,,invalid_values,Unusual category: Alumni Network,
brilliant_org_programs.csv,Brilliant.org Algebra Fundamentals,,MEDIUM,,invalid_values,Unusual category: Online Course,
brilliant_org_programs.csv,Brilliant.org Geometry,,MEDIUM,,invalid_values,Unusual category: Online Course,
brilliant_org_programs.csv,Brilliant.org Pre-Calculus,,MEDIUM,,invalid_values,Unusual category: Online Course,
brilliant_org_programs.csv,Brilliant.org Calculus,,MEDIUM,,invalid_values,Unusual category: Online Course,
brilliant_org_programs.csv,Brilliant.org Computer Science Fundamentals,,MEDIUM,,invalid_values,Unusual category: Online Course,
brilliant_org_programs.csv,Brilliant.org Python Programming,,MEDIUM,,invalid_values,Unusual category: Online Course,
brilliant_org_programs.csv,Brilliant.org Data Structures and Algorithms,,MEDIUM,,invalid_values,Unusual category: Online Course,
brilliant_org_programs.csv,Brilliant.org Physics Fundamentals,,MEDIUM,,invalid_values,Unusual category: Online Course,
brilliant_org_programs.csv,Brilliant.org Electricity and Magnetism,,MEDIUM,,invalid_values,Unusual category: Online Course,
