rank,name,category,stem_field,financial_barrier,location_type,target_grade,similarity_score,url,description
1,High School Aerospace Engineering Scholarship,Scholarship,Engineering,Low,Online,11-12,0.633,https://www.fastweb.com/college-scholarships/aerospace-hs,"For high school students interested in aerospace or aeronautical engineering. Supporting the next generation of aerospace engineers. This Scholarship focuses on Engineering, Physics, Aerospace and ser..."
2,Boeing Aerospace Academy,Other,Engineering,Low,In-person,9-12,0.624,https://www.boeing.com/company/key-orgs/boeing-global-engagement/community-investment/education-and-learning,"Intensive summer program for high school students interested in aerospace careers. Students work with Boeing engineers on real aerospace challenges, visit production facilities, and learn about aviati..."
3,TARC National Finals Competition,Other,Engineering,Low,In-person national competition,6-12,0.586,http://www.rocketcontest.org/,"Championship event for top 100 teams held at Fentress Airfield near Washington, D.C. Multi-day competition featuring official rocket launches, awards ceremony, and aerospace industry expo. Teams compe..."
4,"Aerospace Engineering Scholarship - $8,500",Scholarship,Engineering,Low,Online,11-12,0.567,https://www.niche.com/colleges/scholarships/stem/,"Scholarship for students passionate about aerospace, aviation, or space exploration. Essay on aerospace career aspirations required. This Scholarship focuses on Aerospace Engineering, Engineering, Phy..."
5,Astronaut Scholarship Foundation - Aerospace Design Competition,Competition,Engineering,Low,Hybrid,11-12,0.557,https://www.astronautscholarship.org/design-competition.html,Annual competition where high school teams design aerospace systems or space missions. Teams present to panel of aerospace engineers and astronauts. Winners receive scholarships and recognition. This ...
6,Aerospace Engineering Program,Other,Engineering,Medium,In-person,K-8,0.521,https://www.engineeringforkids.com/programs/,"Explore flight, rocketry, and space exploration. Design and launch rockets, build gliders and airplanes, learn about aerodynamics and propulsion systems. This Afterschool Program focuses on Engineerin..."
7,Astronaut Scholarship Foundation - Women in Aerospace Scholarship,Scholarship,Engineering,Low,Virtual,11-12,0.518,https://www.astronautscholarship.org/women-aerospace.html,"$3,000 scholarship for female high school seniors planning to pursue aerospace engineering or space sciences. Encourages women to enter aerospace field. Recipients invited to special networking events..."
8,Astronaut Scholarship Foundation - Summer Aerospace Intensive,Program/Initiative,Engineering,High,In-Person,11-12,0.516,https://www.astronautscholarship.org/summer-intensive.html,"Two-week intensive program combining aerospace engineering workshops, rocket building, flight simulations, and college prep. Residential program at partner university with industry visits. This Progra..."
9,Aerospace Engineering High School Scholarship,Scholarship,Engineering,Low,Online,11-12,0.485,https://www.unigo.com/scholarships/aerospace-hs,"$3,000 scholarship for aerospace students. For students passionate about aviation and space. This Scholarship focuses on Aerospace Engineering, Engineering, Physics and serves grade 10-12 students. Th..."
10,Aerospace Engineering High School Scholarship,Scholarship,Engineering,Low,Online,11-12,0.482,https://www.scholarships.com/aerospace-hs,"Supporting aspiring aerospace engineers. $2,500 award for high school students passionate about aviation and space exploration. This Scholarship focuses on Aerospace Engineering, Engineering, Physics ..."
11,Aerospace Engineering High School Scholarship,Scholarship,Engineering,Low,Online,11-12,0.481,https://www.chegg.com/scholarships/aerospace-hs,"$3,000 scholarship for aerospace students. For students passionate about aviation and space exploration. This Scholarship focuses on Aerospace Engineering, Engineering, Physics and serves grade 10-12 ..."
12,Aerospace Engineering High School Scholarship,Scholarship,Engineering,Low,Online,11-12,0.477,https://www.petersons.com/aerospace-hs,"$3,500 scholarship for aspiring aerospace engineers. For students passionate about aviation, space exploration, and flight. This Scholarship focuses on Aerospace Engineering, Engineering, Physics and ..."
13,TARC Educational Resources and Curriculum,Other,Engineering,Low,Online,6-12,0.463,http://www.rocketcontest.org/,"Comprehensive learning materials including rocket science tutorials, design guides, physics lessons, and video instruction. Free access to educational content covering aerodynamics, propulsion, flight..."
14,STEMfinity Rocketry Projects,Learning Platform,Engineering,Low,Hybrid,K-12,0.451,https://www.stemfinity.com/Free-STEM-Activities,"Design, build, and launch model rockets. Learn about aerodynamics, propulsion, and flight stability through hands-on aerospace engineering. This Learning Platform focuses on Aerospace, Engineering, Ph..."
15,Chegg - Aerospace Engineering Scholarship,Scholarship,Engineering,Low,Virtual,11-12,0.431,https://www.chegg.com/scholarships/engineering-scholarships/aerospace,"$7,000 scholarship for high school students interested in aerospace engineering, aviation, or space exploration. Must demonstrate interest through coursework, projects, or extracurricular activities. ..."
16,Cappex - Aerospace Engineering Scholarship,Scholarship,Engineering,Low,Virtual,11-12,0.426,https://www.cappex.com/scholarships/engineering/aerospace,"$5,000 scholarship for students interested in aerospace engineering, aviation, or space exploration. Must demonstrate passion for flight and space through projects or activities. This Scholarship focu..."
17,NASA High School Aerospace Scholars,Other,Engineering,Low,In-person,11-12,0.424,https://pathwaystoscience.org/programs.aspx,Interactive online learning experience for high school juniors interested in space exploration and STEM careers. Students complete online coursework followed by summer onsite experience at NASA. This ...
18,Boeing Diversity Scholarship Program,Other,Engineering,Low,Remote,9-12,0.417,https://www.boeing.com/company/careers/working-here/diversity-and-inclusion,"Scholarship program for underrepresented students pursuing aerospace and engineering degrees. Includes mentorship opportunities, internship pathways, and career development support. This Scholarship P..."
19,Astronaut Scholarship Foundation - Alumni Mentorship Network,Program/Initiative,Engineering,Low,Virtual,11-12,0.411,https://www.astronautscholarship.org/mentorship-network.html,"Connects high school students with astronaut scholars and aerospace professionals for ongoing mentorship. Monthly virtual meetings, career guidance, and college application support. This Program focus..."
20,National Space Club Keynote Scholarship,Scholarship,Engineering,Low,Online,11-12,0.392,https://bigfuture.collegeboard.org/scholarships,"$10,000 scholarship for high school seniors pursuing aerospace or space-related STEM fields. For students passionate about space exploration. This Scholarship focuses on Aerospace Engineering, Physics..."
