rank,name,category,stem_field,financial_barrier,location_type,target_grade,similarity_score,url,description
1,Boston University RISE Practicum,Research Opportunity,Engineering,High,In-person,11-12,0.378,https://www.riseprograms.org/programs,"6-week intensive summer research program at Boston University for rising high school seniors. Students conduct original research in life sciences, physical sciences, or engineering. Work in university..."
2,University of Michigan RISE Research Fellows,Research Opportunity,Engineering,Medium,In-person,11-12,0.357,https://www.riseprograms.org/programs,"7-week summer research fellowship at University of Michigan for Midwest high school students. Research in natural sciences, engineering, or mathematics. Close mentorship from U-M faculty and graduate ..."
3,MIT RISE - Research in Science and Engineering,Research Opportunity,Computer Science,Low,In-person,11-12,0.349,https://www.riseprograms.org/programs,"7-week summer research program at MIT for underrepresented high school students. Conduct research in engineering, computer science, or life sciences. Work with MIT faculty on authentic research projec..."
4,Rice University RISE Research Experience,Research Opportunity,Engineering,Medium,In-person,11-12,0.336,https://www.riseprograms.org/programs,"7-week summer research program at Rice University for Texas and Louisiana high school students. Research in physical sciences, life sciences, or engineering. Small cohort with individualized mentorshi..."
5,Yale RISE Summer Research Program,Research Opportunity,Chemistry,Low,In-person,11-12,0.307,https://www.riseprograms.org/programs,"8-week residential research experience at Yale University for high school students. Research in biological sciences, chemistry, physics, or environmental science. Work alongside Yale researchers on on..."
6,UC Berkeley RISE Research Internship,Research Opportunity,Engineering,Medium,In-person,11-12,0.302,https://www.riseprograms.org/programs,"6-week summer research program at UC Berkeley for California high school students. Conduct research in life sciences, physical sciences, or engineering with Berkeley faculty. Residential option availa..."
7,University of Texas RISE Biotech Research,Research Opportunity,Engineering,Medium,In-person,11-12,0.275,https://www.riseprograms.org/programs,"8-week biotechnology research program at UT Austin for Texas high school students. Conduct research in genetic engineering, bioinformatics, or pharmaceutical sciences. Laboratory immersion with daily ..."
8,Cornell Splash,Other,Engineering,Low,"Cornell campus (Ithaca, NY)",9-12,0.263,https://cornell.learningu.org/,"Educational enrichment program at Cornell University where undergraduates teach mini-courses to high school students. Wide variety of classes in science, math, engineering, humanities, and arts. Stude..."
9,Carnegie Mellon SAMS Research Component,Research Opportunity,Computer Science,Low,In-Person,11-12,0.256,https://www.cmu.edu/pre-college/academic-programs/sams.html,"Part of Summer Academy for Math and Science program. Students conduct independent research projects with CMU faculty. Focus on STEM research skills, college prep, and building research portfolio. Full..."
10,University of Washington RISE Engineering Research,Research Opportunity,Engineering,Medium,In-person,11-12,0.248,https://www.riseprograms.org/programs,"6-week engineering research program for Pacific Northwest high school students. Conduct research in mechanical, electrical, civil, or biomedical engineering at UW. Faculty-mentored projects addressing..."
11,Research Mentorship Program (RMP) - Virtual,Research Opportunity,Computer Science,Medium,Virtual,11-12,0.227,https://www.pathwaysresearchprogram.org/,"Semester-long virtual research mentorship connecting students with university researchers. Structured curriculum teaching research methods, weekly meetings with mentor, and final research presentation..."
12,JASON High School STEM Resources,Other,Computer Science,Low,Classroom and online,9-12,0.224,https://www.jason.org/programs/,"Advanced STEM content and career exploration for high school students (9-12). In-depth scientific content, engineering projects, and research-based learning. Career videos feature scientists and engin..."
13,SWE Career Guidance for Young Women,Other,Engineering,Low,Online,9-12,0.212,https://swe.org/k-12-outreach/,"Career counseling and guidance program connecting students with women engineers. Learn about engineering career pathways, college preparation, and professional development. Virtual mentoring sessions ..."
14,ASHRAE High School Outreach Program,Other,Engineering,Low,Hybrid,9-12,0.210,https://www.ashrae.org/about/students,Introduction to HVAC&R careers for high school students. Virtual and in-person presentations by ASHRAE professionals. Learn about engineering careers in building systems and sustainability. Hands-on d...
15,UCSF High School Intern Program,Research Opportunity,Biology,Low,In-Person,11-12,0.203,https://graduate.ucsf.edu/high-school-intern-program,"Eight-week summer research internship for Bay Area high school students. Work in biomedical research labs at UCSF. Stipend provided. Weekly seminars on research skills, college prep, and career explor..."
