rank,name,category,stem_field,financial_barrier,location_type,target_grade,similarity_score,url,description
1,PLTW Engineering - Aerospace Engineering,Other,Engineering,Medium,School-based,9-12,0.652,https://www.pltw.org/our-programs/pltw-engineering/pltw-engineering-courses/aerospace-engineering,"Students explore the physics of flight and space travel while designing and testing model aircraft, rockets, and space systems using engineering principles. This Engineering Program focuses on Aerospa..."
2,National Space Club Keynote Scholarship,Scholarship,Engineering,Low,Online,11-12,0.651,https://bigfuture.collegeboard.org/scholarships,"$10,000 scholarship for high school seniors pursuing aerospace or space-related STEM fields. For students passionate about space exploration. This Scholarship focuses on Aerospace Engineering, Physics..."
3,"Aerospace Engineering Scholarship - $8,500",Scholarship,Engineering,Low,Online,11-12,0.590,https://www.niche.com/colleges/scholarships/stem/,"Scholarship for students passionate about aerospace, aviation, or space exploration. Essay on aerospace career aspirations required. This Scholarship focuses on Aerospace Engineering, Engineering, Phy..."
4,Lockheed Martin Space Mission Challenge,Other,Engineering,Low,Virtual,9-12,0.567,https://www.lockheedmartin.com/en-us/who-we-are/communities/stem-education.html,"Challenge program focused on space exploration and aerospace engineering. Students work on mission planning, satellite design, or space systems challenges. Includes virtual mentorship from Lockheed Ma..."
5,NASA High School Aerospace Scholars,Other,Engineering,Low,In-person,11-12,0.558,https://pathwaystoscience.org/programs.aspx,Interactive online learning experience for high school juniors interested in space exploration and STEM careers. Students complete online coursework followed by summer onsite experience at NASA. This ...
6,STEMfinity Rocketry Projects,Learning Platform,Engineering,Low,Hybrid,K-12,0.526,https://www.stemfinity.com/Free-STEM-Activities,"Design, build, and launch model rockets. Learn about aerodynamics, propulsion, and flight stability through hands-on aerospace engineering. This Learning Platform focuses on Aerospace, Engineering, Ph..."
7,Zero Robotics High School Competition,Other,Engineering,Low,Online,9-12,0.516,http://zerorobotics.mit.edu/compete/,"Space programming competition where high school students code algorithms to control SPHERES (Synchronized Position Hold, Engage, Reorient, Experimental Satellites) on the International Space Station. ..."
8,Astronaut Scholarship Foundation - STEM Excellence Award,Scholarship,Engineering,Low,Virtual,11-12,0.493,https://www.astronautscholarship.org/stem-excellence.html,"$5,000 one-time scholarship for high school seniors planning to major in aerospace engineering, physical sciences, or related STEM fields. Must demonstrate exceptional academic achievement and passion..."
9,Boeing Company Scholarship,Scholarship,Engineering,Low,Online,11-12,0.472,https://bigfuture.collegeboard.org/scholarships,"$5,000 scholarship for high school seniors pursuing aerospace engineering or related STEM fields. Renewable for up to four years. This Scholarship focuses on Aerospace Engineering, Engineering, Physic..."
10,Astronaut Scholarship Foundation - Kennedy Space Center Experience,Program/Initiative,Engineering,Medium,In-Person,11-12,0.471,https://www.astronautscholarship.org/ksc-experience.html,"One-week immersive program at Kennedy Space Center for high school students. Includes behind-the-scenes tours, meetings with engineers, astronaut Q&A, and hands-on engineering challenges. This Program..."
11,TARC National Finals Competition,Other,Engineering,Low,In-person national competition,6-12,0.446,http://www.rocketcontest.org/,"Championship event for top 100 teams held at Fentress Airfield near Washington, D.C. Multi-day competition featuring official rocket launches, awards ceremony, and aerospace industry expo. Teams compe..."
12,TARC Educational Resources and Curriculum,Other,Engineering,Low,Online,6-12,0.442,http://www.rocketcontest.org/,"Comprehensive learning materials including rocket science tutorials, design guides, physics lessons, and video instruction. Free access to educational content covering aerodynamics, propulsion, flight..."
13,Astronaut Scholarship Foundation - Future Space Leaders Program,Program/Initiative,Engineering,Low,Virtual,11-12,0.436,https://www.astronautscholarship.org/future-leaders.html,"Leadership development program for high school students interested in space careers. Includes virtual workshops, guest speakers from NASA and space industry, and capstone project presentations. This P..."
14,Astronaut Scholarship Foundation - Space Exploration Essay Contest,Competition,Engineering,Low,Virtual,11-12,0.423,https://www.astronautscholarship.org/essay-contest.html,"Annual essay competition for high school students on topics related to space exploration, aerospace engineering, and STEM careers. Winners receive scholarships and recognition. Essays judged by astron..."
15,DMA Intro to Engineering,Camp,Engineering,High,In-person,K-5,0.397,https://www.digitalmediaacademy.org/summer-camps,"Hands-on engineering challenges using STEM kits. Build bridges, machines, and learn physics principles. This Camp focuses on Engineering, Physics, Design and serves grade 3-5 students. The program req..."
16,Astronaut Scholarship Foundation - Innovators Program,Program/Initiative,Engineering,Low,Virtual,11-12,0.395,https://www.astronautscholarship.org/innovators-program.html,Year-long mentorship and project program for high school students interested in aerospace innovation. Participants develop space-related projects with guidance from engineers and astronaut scholars. T...
17,iD Tech Intro to Engineering,Camp,Engineering,High,In-person,K-5,0.393,https://www.idtech.com/summer-camps,"Hands-on engineering challenges using STEM kits. Build bridges, machines, and learn physics principles. This Camp focuses on Engineering, Physics, Design and serves grade 3-5 students. The program req..."
18,Astronaut Scholarship Foundation - Aerospace Design Competition,Competition,Engineering,Low,Hybrid,11-12,0.388,https://www.astronautscholarship.org/design-competition.html,Annual competition where high school teams design aerospace systems or space missions. Teams present to panel of aerospace engineers and astronauts. Winners receive scholarships and recognition. This ...
19,Mission Possible,Competition,Engineering,Low,In-person,6-8,0.382,https://www.soinc.org/middle-school-events-2024,"Students build Rube Goldberg-style device to accomplish specific tasks through chain reactions. Tests engineering design and physics principles. This Science Competition focuses on Engineering, Physic..."
20,Boeing Aerospace Academy,Other,Engineering,Low,In-person,9-12,0.370,https://www.boeing.com/company/key-orgs/boeing-global-engagement/community-investment/education-and-learning,"Intensive summer program for high school students interested in aerospace careers. Students work with Boeing engineers on real aerospace challenges, visit production facilities, and learn about aviati..."
