rank,name,category,stem_field,financial_barrier,location_type,target_grade,similarity_score,url,description
1,Robotics Academy,Summer Program,Software Engineering,High,Residential,10-12,0.572,https://www.cmu.edu/pre-college/,"Hands-on robotics program covering robot design, programming, and autonomous systems. Work with LEGO robotics, VEX systems, and advanced robotics platforms. Learn about sensors, actuators, and control..."
2,CMU Robotics Academy - Robotics Fundamentals,Workshop/Training,Software Engineering,Low,Classroom,6-8,0.538,https://www.roboticseducation.org/,"Foundational robotics course covering robot anatomy, sensors, motors, programming basics, and engineering design. Platform-agnostic concepts applicable to any robotics system. Middle school entry poin..."
3,Tynker Robotics & Drones,Learning Platform,Software Engineering,Low,Online,K-8,0.531,https://www.tynker.com/courses/,"Program drones and robots using visual and text-based coding. Learn about sensors, actuators, and autonomous systems through virtual simulations. This Learning Platform focuses on Robotics, Engineerin..."
4,VEX Robotics Summer Camps,Camp,Software Engineering,Medium,In-person,K-12,0.523,https://www.vexrobotics.com/,"Intensive robotics camps using VEX platforms. Students learn robot design, build skills, and programming. Culminates in mini-competition. This Camp focuses on Robotics, Engineering, Programming and se..."
5,CMU Robotics Academy - EV3 Intro to Programming,Workshop/Training,Software Engineering,Low,Classroom,6-12,0.512,https://www.cs2n.org/curriculum,"Introduction to robotics programming using LEGO MINDSTORMS EV3. Learn sensors, motors, programming logic, and problem-solving. Free curriculum with lesson plans, videos, and student activities. No pri..."
6,FIRST Robotics Summer Camps,Camp,Software Engineering,Medium,In-person,K-12,0.509,https://www.firstinspires.org/,"Week-long robotics camps introducing students to FIRST programs. Hands-on robot building, programming workshops, and team challenges. This Camp focuses on Robotics, Engineering, Programming and serves..."
7,Botball Educational Robotics Program,Competition,Software Engineering,Medium,School-based,6-12,0.505,https://www.botball.org/,"Team-based robotics program for middle and high school students. Build autonomous robots using Botball kit with controllers, motors, sensors, and construction materials. Complete game-based challenges..."
8,Code Ninjas Summer Camp - Robotics,Camp,Software Engineering,High,In-person,K-8,0.500,https://www.codeninjas.com/camps,"Build and program robots using VEX or LEGO platforms. Learn mechanical engineering, sensors, and automation. Hands-on robotics challenges. This Camp focuses on Robotics, Engineering, Programming and s..."
9,LEGO Robotics Engineering Program,Other,Software Engineering,Medium,In-person,K-8,0.496,https://www.engineeringforkids.com/programs/,"Build and program LEGO robots using EV3 and WeDo platforms. Learn engineering design process, programming logic, and problem-solving through robotic challenges. This Afterschool Program focuses on Rob..."
10,Stanford Pre-Collegiate Robotics,Summer Program,Software Engineering,High,Residential,9-12,0.481,https://summerinstitutes.spcs.stanford.edu/,"Hands-on robotics program covering robot design, programming, sensors, and autonomous systems. Build and program robots for competitions and challenges. Learn mechanical design, electronics, and contr..."
11,DMA Robotics Engineering Camp,Camp,Software Engineering,High,In-person,6-8,0.480,https://www.digitalmediaacademy.org/summer-camps,"Hands-on robotics camp with VEX and LEGO platforms. Students build and program robots while learning engineering concepts. This Camp focuses on Robotics, Engineering, Programming and serves grade 6-8 ..."
12,FIRST LEGO League (FLL),Competition,Software Engineering,Medium,Regional,9-12,0.476,https://www.firstinspires.org/robotics/fll,"Elementary and middle school program introducing STEM concepts through hands-on robotics and research projects using LEGO technology. This Robotics Competition focuses on Engineering, Programming, Des..."
13,iD Tech Robotics Engineering Camp,Camp,Software Engineering,High,In-person,6-8,0.476,https://www.idtech.com/summer-camps,"Hands-on robotics camp with VEX and LEGO platforms. Students build and program robots while learning engineering concepts. This Camp focuses on Robotics, Engineering, Programming and serves grade 6-8 ..."
14,LEGO Robotics for Kids,Online Course,Software Engineering,Medium,Online,9-12,0.467,https://outschool.com/classes/stem,"Build and program LEGO robots for ages 7-11. Learn engineering principles and basic coding. This Online Class focuses on Robotics, Engineering, Programming and serves grade 2-5 students. The program r..."
15,FIRST LEGO League Explore,Competition,Software Engineering,Medium,In-person,K-5,0.467,https://www.firstinspires.org/,"Introductory LEGO robotics program for younger students. Teams work together to explore real-world themes, build motorized LEGO models, and create Show Me posters. This Competition focuses on Robotics..."
16,VEX Robotics Competition,Competition,Software Engineering,High,In-person,9-12,0.463,https://www.vexrobotics.com/,"High school robotics competition with VEX V5 platform. Teams design, build, and program advanced robots for strategic gameplay. Includes engineering notebook documentation. This Competition focuses on..."
17,FIRST Tech Challenge,Competition,Software Engineering,High,In-person,7-12,0.460,https://www.firstinspires.org/,"Middle and high school robotics competition. Teams design, build, and program robots using Android platform. Combines hardware design with software programming. This Competition focuses on Robotics, E..."
18,FIRST Robotics Competition,Competition,Software Engineering,High,In-person,9-12,0.457,https://www.firstinspires.org/,"Premier high school robotics challenge. Teams build large-scale robots in 6-week build season, compete in regional and world championships. Industry mentorship and college scholarships. This Competiti..."
19,CMU Robotics Academy - VEX IQ Curriculum,Workshop/Training,Software Engineering,Low,Classroom,K-8,0.454,https://www.roboticseducation.org/,Complete VEX IQ robotics curriculum for elementary and middle school. Build and program VEX IQ robots through project-based challenges. Includes engineering notebooks and competition preparation. This...
20,FIRST LEGO League Challenge,Competition,Software Engineering,Medium,In-person,K-8,0.450,https://www.firstinspires.org/,"Competitive robotics program for grades 4-8. Teams design, build, and program LEGO robots to complete missions on a themed game board while also researching real-world problems. This Competition focus..."
