rank,name,category,stem_field,financial_barrier,location_type,target_grade,similarity_score,url,description
1,University of Chicago Research in the Biological Sciences (RIBS),Mentorship Program,Biology,Low,In-person,11-12,0.756,https://www.uchicago.edu/,"Summer research program pairing students with UChicago biology faculty. Full-time laboratory research experience in molecular biology, genetics, or neuroscience. Students receive stipend and housing. ..."
2,Pioneer Academics - Biochemistry and Molecular Biology,Other,Biology,High,Online,11-12,0.727,https://pioneeracademics.com/subjects/,"Research in biochemistry exploring protein structure, enzyme function, or metabolic pathways. Work with biochemistry professor on topics like drug discovery, structural biology, or cellular processes...."
3,Garcia Research Scholars - Biology and Life Sciences Track,Other,Biology,Low,In-person,11-12,0.700,https://www.stonybrook.edu/commcms/garcia/,"Research opportunities in molecular biology, genetics, neuroscience, ecology, or biomedical sciences. Work in university laboratories using advanced equipment and techniques. Learn experimental design..."
4,iGEM Distribution Kit (High School),Other,Biology,Prohibitive,School lab,9-12,0.665,https://igem.org/competition,"Comprehensive collection of standardized biological parts (BioBricks) provided to registered teams. Includes plasmids, DNA sequences, and genetic components for building synthetic biology projects. Ki..."
5,"Genetics and Genomics Scholarship - $7,000",Scholarship,Biology,Low,Online,11-12,0.603,https://www.niche.com/colleges/scholarships/stem/,"Scholarship for students interested in genetics, genomics, or molecular biology. Essay on genetic research required. This Scholarship focuses on Genetics, Biology, Biotechnology and serves grade 11-12..."
6,Jackson Laboratory - Summer Student Program,Internship,Biology,Low,In-Person,11-12,0.598,https://www.jax.org/education-and-learning/high-school-students/summer-student-program,Hands-on genomics and genetics research experience for high school students at premier biomedical research institution. Students work with world-class scientists on projects involving mammalian geneti...
7,iGEM High School Competition,Other,Biology,Prohibitive,School-based with travel,9-12,0.580,https://igem.org/competition/high-school,"International synthetic biology competition where high school teams design and build genetically engineered systems. Teams work for 6-9 months on original research projects, create DNA constructs usin..."
8,Polygence - Biotechnology and Life Sciences,Mentorship Program,Biology,High,Online,8-12,0.578,https://www.polygence.org/programs,"Research mentorship in biology, biotechnology, and life sciences. Explore topics like genetics, molecular biology, neuroscience, or ecology. Projects may involve computational biology, bioinformatics ..."
9,USABO Open Exam,Other,Biology,Low,School-based,12-SEP,0.566,https://www.usabo-trc.org/competition-structure,"First round of USA Biology Olympiad competition for high school students. 50-minute, 50-question multiple choice exam covering biology curriculum. Tests general biology knowledge including cell biolog..."
10,Baylor College of Medicine - High School Summer Science Program,Internship,Biology,Low,In-Person,11-12,0.565,https://www.bcm.edu/education/academic-programs/high-school-summer,"Intensive biomedical research program for Houston-area high school students. Interns work in Baylor laboratories on projects in molecular biology, genetics, neuroscience, and translational medicine. T..."
11,International Biology Olympiad (IBO),Other,Biology,Low,International,9-12,0.529,https://www.usabo-trc.org/,"International biology competition for top 4 USABO finalists representing USA. Compete against students from over 70 countries. Theoretical and practical exams covering molecular biology, genetics, eco..."
12,Introduction to Biology,Online Course,Biology,Low,Online,10-12,0.528,https://www.coursera.org/learn/biology,"MIT introductory biology course covering biochemistry, genetics, molecular biology, and cell biology. University-level content accessible to advanced high school students. Rich multimedia content and ..."
13,Introduction to Biology: The Secret of Life,Online Course,Biology,Low,Online,10-12,0.523,https://www.edx.org/learn/biology/massachusetts-institute-of-technology-introduction-to-biology-the-secret-of-life,"MIT course exploring fundamental principles of biology. Topics include biochemistry, genetics, molecular biology, recombinant DNA, genomics, and medicine. Taught by MIT professors. Excellent preparati..."
14,National Human Genome Research Institute Training,Research Opportunity,Biology,Low,In-person,11-12,0.518,https://www.genome.gov/careers-training,"Genomics and bioinformatics research training for students interested in human genetics and computational biology. This Research Program focuses on Genetics, Bioinformatics, Computational Biology and ..."
15,Biology Olympiad Training Camp,Other,Biology,Low,Residential,9-12,0.485,https://www.usabo-trc.org/,"Intensive two-week residential training for USABO National Finals participants. Advanced biology lectures from leading professors and researchers. Hands-on laboratory work in molecular biology, physio..."
16,MD Anderson Cancer Center - High School Summer Research Program,Internship,Biology,Low,In-Person,11-12,0.485,https://www.mdanderson.org/education-training/high-school-program.html,"Elite cancer research program for Texas high school students at one of nation's top cancer centers. Students conduct research in cancer prevention, treatment, and biology while learning from world-cla..."
17,USA Biology Olympiad (USABO),Competition,Biology,Low,In-Person,9-12,0.475,https://www.usabo-trc.org/,"National biology competition for high school students with open, semifinal, and national finals. Tests broad biological knowledge and experimental design. Top students represent USA at International B..."
18,iGEM Giant Jamboree (High School Division),Other,Biology,Prohibitive,In-person conference,9-12,0.475,https://igem.org/competition,"Annual international conference where iGEM high school teams present their synthetic biology projects to judges, compete for awards, and network with the global synthetic biology community. Multi-day ..."
19,IXL Science - Biology,Learning Platform,Biology,High,Online,9-12,0.473,https://www.ixl.com/science/biology,"High school biology curriculum with 500+ skills. Cell biology, genetics, evolution, ecology, human body systems, and scientific practices. Comprehensive life science course. This Learning Platform foc..."
20,Raising Student Voice - Biology Research Competition,Competition,Biology,Low,Hybrid,11-12,0.469,https://www.raisingstudentvoice.com/competitions/biology,"Competition for original biology research including ecology, genetics, microbiology, botany, and zoology. Students conduct experiments and present findings. This Competition focuses on Biology, Ecolog..."
