rank,name,category,stem_field,financial_barrier,location_type,target_grade,similarity_score,url,description
1,Gizmos - Solar System,Learning Platform,Other STEM,Medium,Online,5-9,0.613,https://gizmos.explorelearning.com/,"Explore planets, orbits, and astronomical distances. Model planetary motion and compare celestial bodies. Grades 5-9 develop astronomy knowledge and scale understanding. This Learning Platform focuses..."
2,"Astronomy and Astrophysics Scholarship - $8,000",Scholarship,Other STEM,Low,Online,11-12,0.602,https://www.niche.com/colleges/scholarships/stem/,"Award for students passionate about space, astronomy, or astrophysics. Essay on astronomical phenomenon or research required. This Scholarship focuses on Astronomy, Astrophysics, Physics and serves gr..."
3,Bold.org - Physics and Astronomy Scholarship,Scholarship,Other STEM,Low,Virtual,11-12,0.575,https://bold.org/scholarships/science/,"$500-$2,500 scholarship for students passionate about physics, astronomy, or astrophysics. Open to students taking physics courses or interested in space science. Essay describing physics concept that..."
4,Physics and Astronomy High School Award,Scholarship,Other STEM,Low,Online,11-12,0.532,https://www.scholarships.com/physics-hs,"$2,500 scholarship for high school physics and astronomy enthusiasts. For students with strong physics grades and interest in space sciences. This Scholarship focuses on Physics, Astronomy, Astrophysi..."
5,Scholly - Physics and Astronomy Scholarship,Scholarship,Other STEM,Low,Virtual,11-12,0.527,https://myscholly.com/stem-scholarships/,"$500-$2,000 scholarship for students passionate about physics or astronomy. Essay describing physics concept that fascinates you or astronomical discovery you find inspiring. Open to students taking p..."
6,Astronaut Scholarship Foundation - Virtual Space Science Series,Program/Initiative,Engineering,Low,Virtual,11-12,0.508,https://www.astronautscholarship.org/webinar-series.html,"Free monthly webinar series featuring astronauts, NASA scientists, and aerospace engineers. High school students learn about current space missions, career paths, and space science topics. This Progra..."
7,Pioneer Academics - Astrophysics and Cosmology,Other,Other STEM,High,Online,11-12,0.498,https://pioneeracademics.com/subjects/,"Research in astrophysics, cosmology, and space science. Work with astronomy professor on topics like exoplanets, black holes, dark matter, or the early universe. Analyze astronomical data, study theor..."
8,Astronomy and Astrophysics High School Award,Scholarship,Other STEM,Low,Online,11-12,0.488,https://www.petersons.com/astronomy-hs,"$3,000 scholarship for astronomy students. For high school students passionate about stars, galaxies, and cosmology. This Scholarship focuses on Astronomy, Astrophysics, Physics and serves grade 9-12 ..."
9,Zero Robotics ISS Finals on International Space Station,Other,Engineering,Low,Virtual viewing (ISS Finals broadcast),9-12,0.485,http://zerorobotics.mit.edu/compete/,Championship competition where winning teams' code executes on actual SPHERES satellites aboard the International Space Station. Live-streamed event shows real satellites performing programmed maneuve...
10,National Space Club Keynote Scholarship,Scholarship,Engineering,Low,Online,11-12,0.477,https://bigfuture.collegeboard.org/scholarships,"$10,000 scholarship for high school seniors pursuing aerospace or space-related STEM fields. For students passionate about space exploration. This Scholarship focuses on Aerospace Engineering, Physics..."
11,Astronomy,Competition,Other STEM,Low,In-person,9-12,0.476,https://www.soinc.org/high-school-events-2024,"Students demonstrate knowledge of stellar evolution, galaxies, cosmology, and astronomical objects. Includes calculations and deep space phenomena. This Science Competition focuses on Earth Science, A..."
12,Astronomy and Astrophysics High School Scholarship,Scholarship,Other STEM,Low,Online,11-12,0.471,https://www.scholarships.com/astronomy-hs,"$2,000 scholarship for astronomy students. For high school students passionate about stars, galaxies, and cosmology. This Scholarship focuses on Astronomy, Astrophysics, Physics and serves grade 9-12 ..."
13,High School Physics and Astronomy Scholarship,Scholarship,Other STEM,Low,Online,11-12,0.443,https://www.fastweb.com/college-scholarships/physics-hs,"For high school students pursuing physics or astronomy. Supports theoretical and experimental physics interests. This Scholarship focuses on Physics, Astronomy, Mathematics and serves grade 12-Sep stu..."
14,Chegg - Physics and Astronomy Scholarship,Scholarship,Other STEM,Low,Virtual,11-12,0.400,https://www.chegg.com/scholarships/science-scholarships/physics-astronomy,"$4,500 scholarship for students passionate about physics, astrophysics, or astronomy. Must have strong grades in physics and mathematics. Essay on physics concepts or astronomical phenomena required. ..."
15,Cappex - Physics and Astronomy Scholarship,Scholarship,Other STEM,Low,Virtual,11-12,0.396,https://www.cappex.com/scholarships/science/physics-astronomy,"$3,500 scholarship for students interested in physics, astrophysics, or astronomy. Must have strong mathematics and physics grades. Essay on physics concepts or astronomical phenomena required. This S..."
16,Zero Robotics High School Competition,Other,Engineering,Low,Online,9-12,0.391,http://zerorobotics.mit.edu/compete/,"Space programming competition where high school students code algorithms to control SPHERES (Synchronized Position Hold, Engage, Reorient, Experimental Satellites) on the International Space Station. ..."
17,Astronaut Scholarship Foundation - Future Space Leaders Program,Program/Initiative,Engineering,Low,Virtual,11-12,0.382,https://www.astronautscholarship.org/future-leaders.html,"Leadership development program for high school students interested in space careers. Includes virtual workshops, guest speakers from NASA and space industry, and capstone project presentations. This P..."
18,Astronaut Scholarship Foundation - Women in Aerospace Scholarship,Scholarship,Engineering,Low,Virtual,11-12,0.378,https://www.astronautscholarship.org/women-aerospace.html,"$3,000 scholarship for female high school seniors planning to pursue aerospace engineering or space sciences. Encourages women to enter aerospace field. Recipients invited to special networking events..."
19,Astronaut Scholarship Foundation - Kennedy Space Center Experience,Program/Initiative,Engineering,Medium,In-Person,11-12,0.373,https://www.astronautscholarship.org/ksc-experience.html,"One-week immersive program at Kennedy Space Center for high school students. Includes behind-the-scenes tours, meetings with engineers, astronaut Q&A, and hands-on engineering challenges. This Program..."
20,IXL Science - 8th Grade,Learning Platform,Other STEM,High,Online,8,0.359,https://www.ixl.com/science/grade-8,"Eighth grade science covering 450+ skills. Atomic structure, periodic table, motion and forces, energy, reproduction, inheritance, and astronomy. High school science preparation. This Learning Platfor..."
