rank,name,category,stem_field,financial_barrier,location_type,target_grade,similarity_score,url,description
1,Chemical Engineering and Science,Other,Chemistry,Medium,In-person,2-6,0.658,https://www.engineeringforkids.com/programs/,"Hands-on chemistry experiments and chemical engineering projects. Learn about reactions, states of matter, polymers, and materials science through safe experiments. This Afterschool Program focuses on..."
2,Gizmos - Chemical Equations,Learning Platform,Chemistry,Medium,Online,8-10,0.638,https://gizmos.explorelearning.com/,Balance chemical equations and visualize molecular reactions. Model conservation of mass in chemical changes. Grades 8-10 develop chemistry problem-solving skills. This Learning Platform focuses on Ch...
3,Chemistry Festivals,Other,Engineering,Low,In-person,K-12,0.638,https://www.acs.org/education/students.html,"Community chemistry festivals organized by local ACS sections featuring hands-on chemistry demonstrations, experiments, and activities. Interactive science events open to public. Chemistry shows, expe..."
4,Celebrating Chemistry,Other,Engineering,Low,Hybrid,K-6,0.566,https://www.acs.org/education/outreach/celebrating-chemistry-editions.html,Outreach program helping children ages 9-12 (grades 4-6) develop interest in chemistry. Themed editions aligned with National Chemistry Week and Chemists Celebrate Earth Week. Available in English and...
5,STEMfinity Chemistry Experiments,Learning Platform,Chemistry,Low,Hybrid,K-12,0.555,https://www.stemfinity.com/Free-STEM-Activities,"Safe chemistry experiments and demonstrations for all grade levels. Learn about reactions, states of matter, acids and bases using household items. This Learning Platform focuses on Chemistry, Science..."
6,ACS Kids Chemistry Workshops,Other,Engineering,Low,In-person,K-8,0.541,https://www.acs.org/education/students.html,Hands-on chemistry workshops for elementary and middle school students offered through local ACS sections. Age-appropriate experiments and activities introducing chemistry concepts. Led by ACS member ...
7,National Chemistry Week,Other,Engineering,Low,Hybrid,K-12,0.504,https://www.acs.org/education/outreach/celebrating-chemistry-editions.html,"Annual celebration promoting awareness of chemistry role in everyday life. Features community events, activities, demonstrations, and hands-on experiments organized by local ACS sections nationwide. D..."
8,Discover Chemistry,Other,Engineering,Low,Hybrid,9-12,0.495,https://www.acs.org/education/students.html,"Explore the interesting world of science with articles, videos and more. This Chemistry Program focuses on Chemistry, Chemical Engineering and serves grade 9-12 students. The program requires Flexible..."
9,Brilliant.org Chemistry,Online Course,Chemistry,Low,Online,9-12,0.484,https://brilliant.org/courses/chemistry/,"Interactive chemistry exploring atoms, molecules, reactions, and chemical principles. Visual approach to understanding chemical concepts. Labs and simulations. Covers general chemistry topics. Great s..."
10,Garcia Research Scholars - Chemistry and Materials Science Track,Other,Engineering,Low,In-person,11-12,0.469,https://www.stonybrook.edu/commcms/garcia/,"Research in organic chemistry, inorganic chemistry, physical chemistry, or materials science. Conduct synthesis experiments, analyze compounds, and characterize materials. Use spectroscopy, chromatogr..."
11,Past Issues ofCelebrating Chemistry,Other,Engineering,Low,Hybrid,9-12,0.469,https://www.acs.org/education/outreach/celebrating-chemistry-editions.html,"Past Issues ofCelebrating Chemistry This Outreach Program focuses on Chemistry, Chemical Engineering and serves grade 9-12 students. The program requires Flexible commitment, free, available hybrid. P..."
12,Young Scientists: Chemistry Lab,Summer Program,Chemistry,High,Commuter,4-6,0.455,https://cty.jhu.edu/programs/on-campus/courses/young-scientists/chemistry,"Introduction to chemistry concepts through safe, hands-on laboratory experiments designed for younger gifted students. This Summer Program focuses on Chemistry and serves grade 4-6 students. The progr..."
13,Mystery Science - 5th Grade: Structure and Properties of Matter,Learning Platform,Chemistry,Low,Classroom,5,0.449,https://mysteryscience.com/school/overview,"Investigate particle theory and chemical changes. Test physical vs chemical changes, mixtures vs solutions. Video demonstrations of molecular behavior. Conduct experiments measuring mass and volume. T..."
14,ChemMatters Magazine,Other,Engineering,Low,Online,9-12,0.443,https://www.acs.org/education/students/highschool.html,"Award-winning magazine for high school students that demystifies chemistry with exciting articles, games, and puzzles. Connects chemistry to everyday life and current events. Published quarterly with ..."
15,National Chemistry Week Editions,Other,Engineering,Low,Hybrid,9-12,0.443,https://www.acs.org/education/outreach/celebrating-chemistry-editions.html,"National Chemistry Week Editions This Outreach Program focuses on Chemistry, Chemical Engineering and serves grade 9-12 students. The program requires Flexible commitment, free, available hybrid. Prer..."
16,High School Chemistry Student Programs and Resources,Other,Engineering,Low,School-based,9-12,0.437,https://www.acs.org/education/students/highschool.html,"High School Chemistry Student Programs and Resources This Chemistry Program focuses on Chemistry, Chemical Engineering and serves grade 9-12 students. The program requires Flexible commitment, free, a..."
17,National Chemistry Week 2025The Hidden Life of Spices,Other,Engineering,Low,Hybrid,9-12,0.424,https://www.acs.org/education/outreach/celebrating-chemistry-editions.html,"National Chemistry Week 2025The Hidden Life of Spices This Outreach Program focuses on Chemistry, Chemical Engineering and serves grade 9-12 students. The program requires Flexible commitment, free, a..."
18,Student Programs & Resources,Other,Engineering,Low,Hybrid,9-12,0.412,https://www.acs.org/education/students.html,"Student Programs & Resources This Chemistry Program focuses on Chemistry, Chemical Engineering and serves grade 9-12 students. The program requires Flexible commitment, free, available hybrid. Prerequ..."
19,Introduction to Chemistry: Reactions and Ratios,Online Course,Chemistry,Low,Online,11-12,0.407,https://www.coursera.org/learn/intro-chemistry,"Duke University chemistry course covering atomic structure, chemical reactions, and stoichiometry. Lab demonstrations and problem-solving practice. Excellent preparation for AP Chemistry or college ch..."
20,ACS ChemClub,Other,Engineering,Low,School-based,9-12,0.395,https://www.acs.org/education/students/highschool.html,"Hands-on opportunity for high school students to experience chemistry beyond the classroom. Student-led clubs organize chemistry activities, demonstrations, community outreach, and chemistry explorati..."
