rank,name,category,stem_field,financial_barrier,location_type,target_grade,similarity_score,url,description
1,"Web Development Scholarship - $6,000",Scholarship,Web Development,Low,Online,11-12,0.682,https://www.niche.com/colleges/scholarships/stem/,"Award for students with web development skills. Portfolio of websites or web applications required. This Scholarship focuses on Web Development, Computer Science, Programming and serves grade 10-12 st..."
2,STEMfinity Web Development Basics,Learning Platform,Web Development,Low,Online,7-12,0.680,https://www.stemfinity.com/STEM-Education,"Learn HTML, CSS, and JavaScript to build websites. Step-by-step tutorials for creating responsive web pages and interactive features. This Learning Platform focuses on Web Development, Computer Scienc..."
3,Web Development Basics,Online Course,Web Development,Low,Online,9-12,0.651,https://skillsbuild.org/students/course-catalog,"Learn web development fundamentals including HTML, CSS, and JavaScript basics. Create responsive web pages and understand web design principles. Hands-on projects guide students through building their..."
4,Web Development Career Path,Other,Web Development,Low,Online,10-12,0.645,https://www.codecademy.com/learn/paths/web-development,"Learn front-end and back-end web development skills including HTML, CSS, JavaScript, React, Node.js, and databases. Build full-stack web applications. This Programming Course focuses on Computer Scien..."
5,Web Lab Development,Online Course,Web Development,Low,Online,6-12,0.619,https://code.org/educate/weblab,"HTML, CSS, and web development fundamentals for creating responsive websites. Students learn front-end web development skills through hands-on projects and real-world applications. This Online Course ..."
6,Coding Rooms - JavaScript for Beginners,Learning Platform,Web Development,Low,Online,7-12,0.608,https://www.codingrooms.com/curriculum,"Introduction to JavaScript programming and web development. Learn variables, functions, DOM manipulation, events, and interactive web pages. Build browser-based projects and games. This Learning Platf..."
7,Learn HTML & CSS,Online Course,Web Development,Low,Online,8-12,0.591,https://www.codecademy.com/learn/learn-html,"Learn the fundamentals of web development with HTML and CSS. Create and style your own websites from scratch using the building blocks of the web. This Online Course focuses on Computer Science, Web D..."
8,Introduction to HTML and CSS,Online Course,Web Development,Low,Online,9-12,0.589,https://www.udacity.com/course/intro-to-html-and-css--ud001,Learn to build and style web pages with HTML and CSS. Create responsive layouts and modern web designs. Hands-on projects building real websites. Perfect for beginners interested in web development. F...
9,Coding Rooms - HTML & CSS Web Fundamentals,Learning Platform,Web Development,Low,Online,6-12,0.588,https://www.codingrooms.com/curriculum,"Web development foundations with HTML and CSS. Create structured web pages, style with CSS, responsive design basics, and portfolio projects. Visual introduction to web technologies. This Learning Pla..."
10,Coding Rooms - Web Development with Flask,Learning Platform,Web Development,Low,Online,9-12,0.581,https://www.codingrooms.com/curriculum,"Build web applications using Python Flask framework. Learn routing, templates, forms, databases, user authentication, and deployment. Create full-stack web projects. This Learning Platform focuses on ..."
11,"Build a Website with HTML, CSS, and GitHub Pages",Online Course,Web Development,Low,Online,8-12,0.566,https://www.codecademy.com/learn/make-a-website,"Hands-on project course where students build and deploy a personal website using HTML, CSS, and GitHub Pages. Learn web development through practical application. This Online Course focuses on Compute..."
12,Google Code Next,Other,Web Development,Low,In-person,9-12,0.564,https://codenext.withgoogle.com/,"Free in-person coding program for Black and Latinx high school students. Year-long courses in web development, mobile apps, and computer science fundamentals. Industry mentors and Google engineers sup..."
13,SkillsUSA Web Design,Other,Web Development,Low,Regional and national competition sites,9-12,0.560,https://www.skillsusa.org/competitions/skillsusa-championships/,"Website development competition testing HTML, CSS, JavaScript, and responsive design. Students create functional websites meeting client specifications. Covers user experience (UX), accessibility, and..."
14,BYJU'S Future School - Web Development (Ages 12-18),Online Course,Web Development,High,Online,7-12,0.555,https://www.byjusfutureschool.com/,"Full-stack web development teaching HTML, CSS, JavaScript, and modern frameworks. Build responsive websites, interactive applications, and portfolio projects. Industry-relevant skills with personalize..."
15,Learn JavaScript,Online Course,Web Development,Low,Online,9-12,0.547,https://www.codecademy.com/learn/introduction-to-javascript,Learn JavaScript fundamentals and start building interactive web applications. JavaScript is essential for modern web development and used across the tech industry. This Online Course focuses on Compu...
16,Raising Student Voice - Coding Championship,Competition,Web Development,Low,Online,6-12,0.547,https://www.raisingstudentvoice.com/competitions/coding-championship,"National coding competition for middle and high school students featuring algorithm challenges, app development, and web design categories. All skill levels welcome. This Competition focuses on Comput..."
17,Google Computer Science Summer Institute (CSSI),Other,Web Development,Low,Residential,9-12,0.543,https://buildyourfuture.withgoogle.com/programs/computer-science-summer-institute,"Intensive 3-week summer program for graduating high school seniors entering university. Learn programming, web development, and product design from Google engineers. Completely free including travel, ..."
18,Raising Student Voice - Web Development Challenge,Competition,Web Development,Low,Online,7-12,0.541,https://www.raisingstudentvoice.com/competitions/web-dev,"Competition where students design and develop websites or web applications with focus on functionality, design, accessibility, and social impact. This Competition focuses on Web Development, Computer ..."
19,CS50: Introduction to Computer Science,Online Course,Web Development,Low,Online,9-12,0.541,https://www.edx.org/learn/computer-science/harvard-university-cs50-s-introduction-to-computer-science,"Harvard University's introduction to computer science and programming. Learn to think algorithmically and solve problems efficiently. Topics include algorithms, data structures, web development, and m..."
20,Learn React,Online Course,Web Development,Low,Online,11-12,0.523,https://www.codecademy.com/learn/react-101,"Learn React, a powerful JavaScript library for building user interfaces. Create dynamic and interactive web applications with component-based architecture. This Online Course focuses on Computer Scien..."
