rank,name,category,stem_field,financial_barrier,location_type,target_grade,similarity_score,url,description
1,AMC 10,Competition,Mathematics,Low,School-based,9-10,0.521,https://www.maa.org/math-competitions/amc-1012,"25-question, 75-minute multiple choice examination for students in grade 10 and below. Tests mathematical problem-solving with applications of pre-calculus mathematics. Covers algebra, geometry, numbe..."
2,Zearn Math - Grade 8 Curriculum,Learning Platform,Mathematics,Low,Online,8,0.459,https://www.zearn.org/math-curriculum,"Eighth grade curriculum preparing for high school algebra. Topics include transformations, linear relationships, systems of equations, functions, Pythagorean theorem, and bivariate data. This Learning..."
3,Brilliant.org Calculus,Online Course,Mathematics,Low,Online,9-12,0.457,https://brilliant.org/courses/calculus/,"Interactive calculus course teaching limits, derivatives, and integrals through visual problems. Build calculus intuition with interactive explorations. Applications to physics, engineering, and optim..."
4,Coolmath.com - Calculus Lessons,Learning Platform,Mathematics,Low,Online,9-12,0.454,https://www.coolmath.com/,"Introduction to calculus concepts including limits, derivatives, integrals, and applications. Visual explanations and interactive tools to understand fundamental calculus principles. This Learning Pla..."
5,Zearn Math - Grade 7 Curriculum,Learning Platform,Mathematics,Low,Online,7,0.448,https://www.zearn.org/math-curriculum,"Seventh grade mathematics including proportional relationships, operations with rational numbers, linear equations, geometric constructions, and probability. College-preparatory content. This Learning..."
6,AMC 12,Competition,Mathematics,Low,School-based,9-12,0.440,https://www.maa.org/math-competitions/amc-1012,"25-question, 75-minute multiple choice examination for students in grade 12 and below. Tests secondary school mathematics including pre-calculus concepts. More challenging than AMC 10. Covers advanced..."
7,IXL Math - Calculus,Learning Platform,Mathematics,High,Online,9-12,0.440,https://www.ixl.com/math/calculus,"Calculus curriculum covering limits, derivatives, integrals, and applications. AP Calculus AB/BC aligned content with comprehensive practice problems. This Learning Platform focuses on Mathematics, Ca..."
8,Calculus 1B: Integration,Online Course,Mathematics,Low,Online,9-12,0.427,https://www.edx.org/learn/calculus/massachusetts-institute-of-technology-calculus-1b-integration,"MIT course covering integration techniques and applications. Definite and indefinite integrals, Fundamental Theorem of Calculus, applications to geometry and science. Second part of MIT's calculus ser..."
9,Geometry with Proofs,Online Course,Mathematics,Medium,Online,8-10,0.426,https://outschool.com/classes/math,"High school geometry for ages 13-16. Euclidean geometry, proofs, transformations, and coordinate geometry. This Online Class focuses on Mathematics, Geometry and serves grade 8-10 students. The progra..."
10,Brilliant.org Geometry,Online Course,Mathematics,Low,Online,6-8,0.423,https://brilliant.org/courses/geometry/,"Visual geometry course exploring shapes, angles, areas, and spatial reasoning. Interactive diagrams and puzzles. Learn proofs and geometric thinking. Covers triangles, circles, polygons, and 3D shapes..."
11,Gizmos - Trigonometric Functions,Learning Platform,Mathematics,Medium,Online,10-12,0.420,https://gizmos.explorelearning.com/,"Interactive unit circle and trig function graphs. Explore sine, cosine, and tangent relationships. Grades 10-12 develop trigonometric reasoning and function analysis. This Learning Platform focuses on..."
12,IXL Math - Geometry,Learning Platform,Mathematics,High,Online,9-10,0.416,https://www.ixl.com/math/geometry,"Comprehensive geometry curriculum with 900+ skills. Proofs, transformations, congruence, similarity, trigonometry, circles, and coordinate geometry. Visual and interactive practice. This Learning Plat..."
13,Brilliant.org Pre-Calculus,Online Course,Mathematics,Low,Online,10-12,0.410,https://brilliant.org/courses/pre-calculus/,"Bridge to calculus covering functions, trigonometry, exponentials, and logarithms. Interactive graphs and visualizations. Develop mathematical reasoning and problem-solving skills. Preparation for AP ..."
14,BYJU'S Future School - Calculus and Advanced Topics (Ages 14-18),Online Course,Mathematics,High,Online,9-12,0.406,https://www.byjusfutureschool.com/,"High school calculus, statistics, and college-prep mathematics. AP exam preparation, advanced problem-solving, and mathematical rigor. One-on-one instruction with expert teachers. This Online Class fo..."
15,Calculus 1A: Differentiation,Online Course,Mathematics,Low,Online,9-12,0.400,https://www.edx.org/learn/calculus/massachusetts-institute-of-technology-calculus-1a-differentiation,"MIT course covering single-variable calculus differentiation. Learn limits, continuity, derivatives, and applications. First part of MIT's three-part calculus series. Interactive problem sets and anim..."
16,Gizmos - Quadratic Functions,Learning Platform,Mathematics,Medium,Online,9-10,0.399,https://gizmos.explorelearning.com/,"Explore parabolas by manipulating coefficients in quadratic equations. Visualize vertex form, intercepts, and transformations. Grades 9-11 develop understanding of quadratic relationships. This Learni..."
17,Advanced Mathematics: Calculus BC,Other,Mathematics,High,Online,9-12,0.398,https://cty.jhu.edu/programs/online/courses/math/calculus-bc,"An intensive online course covering differential and integral calculus topics equivalent to AP Calculus BC, designed for mathematically gifted students. This Academic Program focuses on Mathematics an..."
18,AoPS Olympiad Geometry,Learning Platform,Mathematics,High,Online,9-12,0.397,https://artofproblemsolving.com/online-school,"Advanced geometry for mathematical olympiads covering power of a point, homothety, inversions, and complex geometry techniques. For USAMO preparation. This Learning Platform focuses on Mathematics and..."
19,Brilliant.org Algebra Fundamentals,Online Course,Mathematics,Low,Online,6-8,0.383,https://brilliant.org/courses/algebra/,"Interactive algebra course covering variables, equations, functions, and graphing. Visual problem-solving approach with immediate feedback. Build intuition through guided explorations. Perfect for beg..."
20,Calculus AB Preparation,Online Course,Mathematics,Medium,Online,9-12,0.381,https://outschool.com/classes/math,"AP Calculus AB course for ages 15-18. Limits, derivatives, integrals, and applications. Full AP exam preparation. This Online Class focuses on Mathematics, Calculus and serves grade 10-12 students. Th..."
