rank,name,category,stem_field,financial_barrier,location_type,target_grade,similarity_score,url,description
1,Mathematical Problem Solving,Summer Program,Mathematics,High,Commuter,3-6,0.632,https://cty.jhu.edu/programs/on-campus/courses/young-scientists/math-problem-solving,"Advanced mathematical concepts and problem-solving strategies for talented young mathematicians, including number theory and geometry. This Summer Program focuses on Mathematics and serves grade 3-6 s..."
2,Art of Problem Solving (AOPS) - Alcumus,Program/Initiative,Mathematics,Low,Virtual,6-12,0.591,https://artofproblemsolving.com/alcumus,"Free adaptive online problem-solving system for math students. Provides unlimited practice problems that adjust difficulty based on performance. Covers algebra, geometry, number theory, and more. Trac..."
3,Stanford University Mathematics Camp (SUMaC),Summer Program,Mathematics,High,Residential,11-12,0.572,https://spcs.stanford.edu/programs,"Intensive four-week residential program for grades 10-11 in advanced mathematics. Focus on abstract mathematical thinking, proofs, and problem-solving. Two tracks: Program I (algebra and number theory..."
4,Pioneer Academics - Mathematics and Number Theory,Other,Mathematics,High,Online,11-12,0.562,https://pioneeracademics.com/subjects/,"Research in pure or applied mathematics. Work with mathematics professor on topics like number theory, combinatorics, topology, or mathematical modeling. Explore theoretical questions or applications ..."
5,Competition Math - AMC Prep,Online Course,Mathematics,Medium,Online,6-8,0.540,https://outschool.com/classes/math,"Prepare for AMC 8/10 competitions. Ages 11-15 learn problem-solving strategies, number theory, and competition techniques. This Online Class focuses on Mathematics, Problem Solving and serves grade 6-..."
6,STEMfinity Math Competition Prep,Competition,Mathematics,Low,Online,6-12,0.532,https://www.stemfinity.com/STEM-Competitions,"Practice problems and study guides for math competitions including MATHCOUNTS, AMC 8/10/12. Problem-solving strategies and competition tips. This Competition focuses on Mathematics, Problem Solving an..."
7,AMC 10,Competition,Mathematics,Low,School-based,9-10,0.508,https://www.maa.org/math-competitions/amc-1012,"25-question, 75-minute multiple choice examination for students in grade 10 and below. Tests mathematical problem-solving with applications of pre-calculus mathematics. Covers algebra, geometry, numbe..."
8,MATHCOUNTS Competition Series,Competition,Mathematics,Low,In-Person,6-8,0.478,https://www.mathcounts.org/programs/competition-series,"National middle school mathematics competition with school, chapter, state, and national levels. Includes individual and team rounds testing problem-solving and computational skills. Free to participa..."
9,Raising Student Voice - Math Olympiad Challenge,Competition,Mathematics,Low,Online,K-12,0.476,https://www.raisingstudentvoice.com/competitions/math-olympiad,"Multi-level mathematics competition featuring problem-solving challenges, mathematical modeling, and applied mathematics. Separate divisions for elementary, middle, and high school. This Competition f..."
10,PBS Kids - Sesame Street: Cookie Monster's Challenge,Learning Platform,Mathematics,Low,Online,PreK-1,0.470,https://pbskids.org/games/math/,"Self-regulation and problem-solving with Cookie Monster. Complete puzzles requiring patience, planning, and strategy. Ages 3-5 develop executive function, patience, and mathematical thinking. This Lea..."
11,MATHCOUNTS Target Round,Competition,Mathematics,Low,Regional,6-8,0.468,https://mathcounts.org/programs/competition-rules-faq,"Problem-solving round with 8 multi-step problems in 4 sets, 6 minutes per set. Calculator use permitted. Tests mathematical reasoning and problem-solving processes. This Math Competition focuses on Ma..."
12,Osmo - Tangram,Learning Platform,Mathematics,High,Home,K-5,0.461,https://www.playosmo.com/en/shopping/games/,"Classic tangram puzzle game with physical pieces and digital feedback. Arrange geometric shapes to match on-screen puzzles. Develops spatial reasoning, problem-solving, and geometric thinking through ..."
13,PBS Kids - Molly of Denali: Sled Dog Dash,Learning Platform,Mathematics,Low,Online,K-5,0.460,https://pbskids.org/games/math/,"Math and strategy game planning sled dog race routes. Calculate distances, estimate time, and manage resources. Ages 5-8 apply measurement, estimation, and problem-solving while learning Alaskan cultu..."
14,American Mathematics Competitions (AMC 8/10/12),Competition,Mathematics,Low,In-Person,6-12,0.460,https://www.maa.org/math-competitions/amc-810-12,"Series of mathematics competitions for middle and high school students. AMC 8 for grades 8 and below, AMC 10/12 for high school. Gateway to AIME and USA Math Olympiad. Annual competitions testing math..."
15,BYJU'S Future School - Math Olympiad Training (Ages 8-16),Online Course,Mathematics,High,Online,9-12,0.457,https://www.byjusfutureschool.com/,"Advanced math problem-solving for competitions. Number theory, combinatorics, geometry, and algebra for Math Olympiad preparation. Intensive one-on-one training. This Online Class focuses on Mathemati..."
16,Davidson Fellows - Mathematics Category,Other,Mathematics,Low,Online,9-12,0.446,https://www.davidsongifted.org/gifted-programs/fellows-scholarship/,"Award for original mathematical research and proofs. Students work on advanced mathematical problems, develop new theorems, or apply mathematics to novel situations. Projects require mathematical rigo..."
17,Google Kick Start,Competition,Software Engineering,Low,Online,9-12,0.422,https://codingcompetitions.withgoogle.com/kickstart,"Online coding competition with multiple rounds throughout the year, designed to help participants develop and hone their programming skills. Features algorithmic challenges suitable for students and p..."
18,Beast Academy Practice - Problem Solving,Learning Platform,Mathematics,Medium,Online,9-12,0.421,https://beastacademy.com/online,"Adaptive online practice system with thousands of problems across all elementary topics. Features hints, video solutions, and personalized learning paths based on student performance. This Learning Pl..."
19,Gizmos - Solving Linear Equations,Learning Platform,Mathematics,Medium,Online,6-8,0.420,https://gizmos.explorelearning.com/,Interactive algebra tiles for solving one and two-step equations. Visual representation of equation solving with balance method. Grades 6-8 develop algebraic thinking and equation solving strategies. ...
20,PBS Kids - Peg + Cat: Chicken Problem,Learning Platform,Technology,Low,Online,PreK-1,0.418,https://pbskids.org/games/math/,"Solve math problems with Peg and Cat using addition and subtraction. Count chickens and solve real-world word problems. Ages 3-5 develop early numeracy, counting skills, and problem-solving strategies..."
