rank,name,category,stem_field,financial_barrier,location_type,target_grade,similarity_score,url,description
1,Coding Rooms - Cybersecurity Basics,Learning Platform,Cybersecurity,Low,Online,9-12,0.818,https://www.codingrooms.com/curriculum,"Introduction to cybersecurity concepts and ethical hacking. Learn encryption, network security, password security, common vulnerabilities, and security best practices. Hands-on security challenges. Th..."
2,SkillsUSA Cybersecurity,Other,Cybersecurity,Low,Regional and national competition sites,9-12,0.815,https://www.skillsusa.org/competitions/skillsusa-championships/,"Information security competition testing network defense, vulnerability assessment, and incident response. Students identify security threats, implement protective measures, and respond to simulated c..."
3,Cybersecurity Fundamentals,Online Course,Cybersecurity,Low,Online,9-12,0.712,https://skillsbuild.org/students/course-catalog,"Learn essential cybersecurity concepts including threat identification, network security, cryptography, and security best practices. Understand common vulnerabilities and how to protect systems and da..."
4,CyberStart America - Hands-On Challenges,Program/Initiative,Cybersecurity,Low,Online,9-12,0.701,https://www.cyberstartamerica.org/programs/,"Interactive cybersecurity challenges covering cryptography, web security, forensics, and network analysis. Real-world scenarios and tools. Progressive difficulty levels. This Program focuses on Cybers..."
5,CyberStart America - Game Phase,Competition,Cybersecurity,Low,Online,9-12,0.644,https://www.cyberstartamerica.org/students/,Advanced cybersecurity training game for qualifying students. Learn offensive and defensive security techniques through interactive challenges. Free comprehensive training program. This Competition fo...
6,CyberStart America - Summer Intensive,Program/Initiative,Cybersecurity,Low,Online,9-12,0.614,https://www.cyberstartamerica.org/students/,"Accelerated summer cybersecurity program for motivated students. Deep dive into advanced security topics. Prepare for elite competitions and certifications. This Program focuses on Cybersecurity, Ethi..."
7,Introduction to Cybersecurity,Online Course,Cybersecurity,Low,Online,10-12,0.601,https://www.udacity.com/course/intro-to-cybersecurity--ud1337,"Learn cybersecurity fundamentals including network security, cryptography, and secure coding. Understand common threats and defense mechanisms. Hands-on labs and simulations. Great introduction to sec..."
8,NYLF National Security,Other,Cybersecurity,High,Regional,9-12,0.552,https://www.nylf.org/,"Program exploring careers in national security, intelligence, and defense technology. Learn about cybersecurity, intelligence analysis, defense systems, and national security policy. Meet professional..."
9,SkillsUSA Network Systems Administration,Other,Technology,Low,Regional and national competition sites,9-12,0.494,https://www.skillsusa.org/competitions/skillsusa-championships/,"IT infrastructure competition testing network configuration, server administration, and troubleshooting. Students configure routers, switches, servers, and network services. Covers Windows and Linux a..."
10,Cybersecurity Fundamentals,Online Course,Cybersecurity,Low,Online,9-12,0.492,https://www.coursera.org/learn/cyber-security-fundamentals,"RIT course introducing cybersecurity principles, network security, and cryptography. Learn about threats, vulnerabilities, and security best practices. Hands-on labs and real-world scenarios. This Onl..."
11,CyberStart America - Assess Phase,Competition,Cybersecurity,Low,Online,9-12,0.483,https://www.cyberstartamerica.org/students/,Free introductory cybersecurity challenges for high school students. Complete series of puzzles and challenges to learn cybersecurity basics. Entry point to CyberStart competition. This Competition fo...
12,Introduction to Cybersecurity,Online Course,Cybersecurity,Low,Online,10-12,0.481,https://www.edx.org/learn/cybersecurity,"University of Washington course covering cybersecurity fundamentals. Network security, cryptography, ethical hacking, and security best practices. Hands-on labs and real-world scenarios. Great introdu..."
13,NYLF Cybersecurity,Other,Cybersecurity,High,Regional,10-12,0.431,https://www.nylf.org/programs/cybersecurity,"Intensive cybersecurity leadership program teaching network security, ethical hacking, threat assessment, and digital forensics. Students learn from cybersecurity professionals, participate in capture..."
14,Raising Student Voice - Cybersecurity Challenge,Competition,Cybersecurity,Low,Online,9-12,0.402,https://www.raisingstudentvoice.com/competitions/cybersecurity,"High school cybersecurity competition covering ethical hacking, network security, cryptography, and digital forensics. Beginner-friendly with advanced categories. This Competition focuses on Cybersecu..."
15,PLTW Computer Science - Cybersecurity,Other,Cybersecurity,Medium,School-based,9-12,0.394,https://www.pltw.org/our-programs/pltw-computer-science/pltw-computer-science-courses/cybersecurity,"Students explore cybersecurity concepts including network security, cryptography, and ethical hacking while learning to protect digital information and systems. This Computer Science Program focuses o..."
16,picoCTF Annual Competition,Other,Cybersecurity,Low,Online,6-12,0.393,https://picoctf.org/competitions/,Free computer security competition for middle and high school students developed by Carnegie Mellon University. Multi-week online Capture The Flag (CTF) event with cybersecurity challenges in cryptogr...
17,Cybersecurity for Beginners,Online Course,Cybersecurity,Medium,Online,7-12,0.384,https://outschool.com/classes/stem,"Learn online safety and ethical hacking for ages 12-17. Network security, encryption, and safe computing practices. This Online Class focuses on Cybersecurity, Computer Science, Technology and serves ..."
18,High School Cybersecurity Scholarship,Scholarship,Cybersecurity,Low,Online,11-12,0.377,https://www.fastweb.com/college-scholarships/cybersecurity-hs,"For high school students interested in cybersecurity and information security. Addresses critical need for cybersecurity professionals. This Scholarship focuses on Computer Science, Cybersecurity, Tec..."
19,"Cybersecurity Future Professionals - $7,000",Scholarship,Cybersecurity,Low,Online,11-12,0.368,https://www.niche.com/colleges/scholarships/stem/,"Award for students interested in cybersecurity, information security, or ethical hacking. Portfolio or project description required. This Scholarship focuses on Cybersecurity, Computer Science, Techno..."
20,CyberPatriot Middle School Division,Other,Cybersecurity,Medium,Online,6-8,0.365,https://www.uscyberpatriot.org/,Introduction to cybersecurity competition for middle school students grades 6-8. Simplified challenges focusing on Windows security and cybersecurity fundamentals. Teams of 2-5 students work together ...
