rank,name,category,stem_field,financial_barrier,location_type,target_grade,similarity_score,url,description
1,Quantum Computing Introduction,Online Course,Computer Science,Low,Online,9-12,0.904,https://skillsbuild.org/students/course-catalog,"Explore the fascinating world of quantum computing. Learn quantum mechanics basics, quantum algorithms, and quantum computers capabilities. Understand how quantum computing will revolutionize technolo..."
2,Qubit by Qubit Advanced Quantum Computing,Other,Computer Science,Low,Online,10-12,0.861,https://www.qubitbyqubit.org/,"Advanced quantum computing program for students who completed introductory course. Deep dive into quantum algorithms, error correction, and cutting-edge quantum research. Research projects with mentor..."
3,Introduction to Quantum Computing,Online Course,Computer Science,Low,Online,9-12,0.746,https://www.edx.org/learn/quantum-computing,"MIT course introducing quantum computing concepts. Quantum mechanics basics, qubits, quantum gates, and quantum algorithms. Explore cutting-edge technology and future applications. Advanced high schoo..."
4,"Quantum Computing Scholarship - $9,500",Scholarship,Computer Science,Low,Online,11-12,0.741,https://www.niche.com/colleges/scholarships/stem/,"Prestigious award for students exploring quantum computing or quantum physics. Advanced research essay required. This Scholarship focuses on Quantum Computing, Physics, Computer Science and serves gra..."
5,Chegg - Quantum Computing Scholarship,Scholarship,Computer Science,Low,Virtual,11-12,0.737,https://www.chegg.com/scholarships/computer-science-scholarships/quantum-computing,"$8,000 scholarship for students interested in quantum computing, quantum physics, or quantum information science. Must demonstrate strong foundation in physics and advanced mathematics. This Scholarsh..."
6,Quantum Computing Competitions,Competition,Other STEM,Low,Online,9-12,0.737,https://www.qubitbyqubit.org/,Competitions and challenges for Qubit by Qubit students. Solve quantum computing problems and build quantum applications. Team and individual competitions. Prizes and recognition. Great for building s...
7,Quantum Computing Research Projects,Research Opportunity,Other STEM,Low,Online,11-12,0.693,https://www.qubitbyqubit.org/,Guided research projects for advanced students in quantum computing. Work on real quantum computing problems with mentorship from researchers. Publish findings or present at conferences. Great for stu...
8,Brilliant.org Quantum Computing,Online Course,Computer Science,Low,Online,9-12,0.676,https://brilliant.org/courses/quantum-computing/,"Introduction to quantum computing concepts through interactive visualizations. Learn qubits, quantum gates, and quantum algorithms. No physics background required. Build intuition for cutting-edge tec..."
9,Quantum Computing High School Scholarship,Scholarship,Computer Science,Low,Online,11-12,0.667,https://www.petersons.com/quantum-hs,"$4,500 award for quantum computing students. For high school students with advanced physics and computer science knowledge. This Scholarship focuses on Quantum Computing, Physics, Computer Science and..."
10,Quantum Computing High School Award,Scholarship,Computer Science,Low,Online,11-12,0.663,https://www.scholarships.com/quantum-hs,"$2,500 scholarship for students exploring quantum computing. For high school students with advanced physics and computer science knowledge. This Scholarship focuses on Quantum Computing, Physics, Comp..."
11,Pioneer Academics - Physics and Quantum Mechanics,Other,Other STEM,High,Online,11-12,0.592,https://pioneeracademics.com/subjects/,"Research in theoretical or experimental physics. Work with physics professor on topics like quantum mechanics, particle physics, condensed matter, or thermodynamics. Explore fundamental questions abou..."
12,TKS - Emerging Technologies and Innovation Track,Program/Initiative,Robotics,High,Online,8-12,0.468,https://www.tks.world/program,"Comprehensive exploration of exponential technologies shaping the future. Study quantum computing, blockchain, virtual/augmented reality, space technology, and advanced robotics. Learn how technologie..."
13,The Coding School Mentorship Network,Mentorship Program,Artificial Intelligence/Machine Learning,Low,Online,9-12,0.444,https://the-cs.org/programs,"Connect with professionals in quantum computing, AI, and tech industries. One-on-one mentorship, career guidance, and networking opportunities. Learn about career paths from experts. College and caree..."
14,The Knowledge Society (TKS) - Core Innovate Program,Program/Initiative,Artificial Intelligence/Machine Learning,High,Online,8-12,0.440,https://www.tks.world/program,"10-month immersive program for teens ages 13-17 learning emerging technologies and innovation skills. Students explore AI, biotechnology, quantum computing, blockchain, and other exponential technolog..."
15,Flatiron Institute Student Research Opportunities,Research Opportunity,Other STEM,Low,Flatiron Institute (New York City),9-12,0.260,https://www.simonsfoundation.org/,"Research division of Simons Foundation focusing on computational science. Offers occasional summer research opportunities and internships for advanced students in computational biology, astrophysics, ..."
16,Stanford Pre-Collegiate Physics,Summer Program,Mathematics,High,Residential,9-12,0.213,https://summerinstitutes.spcs.stanford.edu/,"Advanced physics topics beyond high school curriculum including modern physics, quantum mechanics, and relativity. Laboratory experiments, problem-solving, and mathematical modeling. Taught by Stanfor..."
17,Brilliant.org - Problem Solving Courses and Challenges,Program/Initiative,Data Science,Low,Virtual,8-12,0.212,https://brilliant.org/,"Interactive online learning platform with daily challenges in math, science, and computer science. Courses cover wide range from algebra to quantum computing. Free tier available with premium subscrip..."
