rank,name,category,stem_field,financial_barrier,location_type,target_grade,similarity_score,url,description
1,MathWorks Math Modeling Challenge (M3 Challenge),Other,Mathematics,Low,Online,9-12,0.577,https://m3challenge.siam.org/,"Prestigious 14-hour continuous mathematical modeling competition for teams of 3-5 high school students. Teams receive real-world problem Friday evening, work continuously through Saturday, submit solu..."
2,M3 Challenge Mathematical Modeling Webinars,Other,Mathematics,Low,Online,9-12,0.522,https://m3challenge.siam.org/resources,"Free webinar series on mathematical modeling techniques. Learn modeling process, problem formulation, and solution strategies. Presented by mathematicians and past judges. Topics include data analysis..."
3,STEMfinity Statistics and Data Analysis,Learning Platform,Data Science,Low,Hybrid,7-12,0.513,https://www.stemfinity.com/STEM-Education,"Learn statistics through real-world data analysis projects. Topics include data collection, graphs, measures of center, and probability. This Learning Platform focuses on Mathematics, Statistics, Data..."
4,Raising Student Voice - Statistics and Probability Challenge,Competition,Data Science,Low,Online,8-12,0.503,https://www.raisingstudentvoice.com/competitions/statistics,"Competition testing statistical analysis, probability theory, and real-world data interpretation. Includes individual and team categories. This Competition focuses on Statistics, Mathematics, Data Ana..."
5,BYJU'S Future School - Calculus and Advanced Topics (Ages 14-18),Online Course,Mathematics,High,Online,9-12,0.478,https://www.byjusfutureschool.com/,"High school calculus, statistics, and college-prep mathematics. AP exam preparation, advanced problem-solving, and mathematical rigor. One-on-one instruction with expert teachers. This Online Class fo..."
6,Introduction to Statistics,Online Course,Data Science,Low,Online,10-12,0.451,https://www.udacity.com/course/intro-to-statistics--st101,"Learn statistical concepts and methods for data analysis. Descriptive statistics, probability, inference, and hypothesis testing. Use real datasets and statistical software. Foundation for data scienc..."
7,Statistics with R,Online Course,Mathematics,Low,Online,10-12,0.440,https://www.coursera.org/specializations/statistics,"Duke University specialization teaching statistical concepts and R programming. Learn data analysis, probability, inference, and regression modeling. Five-course series with practical data projects. T..."
8,Statistics and Probability,Online Course,Mathematics,Medium,Online,8-12,0.415,https://outschool.com/classes/math,"Introduction to statistics for ages 13-17. Data analysis, probability theory, distributions, and hypothesis testing. This Online Class focuses on Mathematics, Statistics and serves grade 8-12 students..."
9,Brilliant.org Probability and Statistics,Online Course,Mathematics,Low,Online,9-12,0.407,https://brilliant.org/courses/probability/,"Interactive probability and statistics course. Learn through games, puzzles, and real-world problems. Covers distributions, inference, and data analysis. Build statistical intuition. Great for AP Stat..."
10,Raising Student Voice - Data Science Challenge,Competition,Data Science,Low,Online,8-12,0.398,https://www.raisingstudentvoice.com/competitions/data-science,Competition where students analyze real-world datasets to extract insights and create data visualizations. Appropriate for students learning statistics and data analysis. This Competition focuses on D...
11,Statistics and Probability High School Award,Scholarship,Data Science,Low,Online,11-12,0.385,https://www.petersons.com/statistics-hs,"$2,000 scholarship for statistics students. For high school students with strong statistical analysis and probability skills. This Scholarship focuses on Statistics, Mathematics, Data Science and serv..."
12,Scholly - Data Science Scholars,Scholarship,Data Science,Low,Virtual,11-12,0.383,https://myscholly.com/stem-scholarships/,"$1,000-$3,000 scholarship for students interested in data science and analytics. Open to students learning data analysis, statistical modeling, or data visualization. Submit portfolio of data projects..."
13,Statistics and Probability High School Award,Scholarship,Data Science,Low,Online,11-12,0.379,https://www.scholarships.com/statistics-hs,"$1,500 scholarship for statistics students. For high school students with strong skills in statistical analysis and probability theory. This Scholarship focuses on Statistics, Mathematics, Data Scienc..."
14,Pioneer Academics - Mathematics and Number Theory,Other,Mathematics,High,Online,11-12,0.374,https://pioneeracademics.com/subjects/,"Research in pure or applied mathematics. Work with mathematics professor on topics like number theory, combinatorics, topology, or mathematical modeling. Explore theoretical questions or applications ..."
15,Bold.org - Data Science and Analytics Scholarship,Scholarship,Artificial Intelligence/Machine Learning,Low,Virtual,11-12,0.367,https://bold.org/scholarships/mathematics/,"$500-$3,000 scholarship for students interested in data science, statistics, or analytics careers. Open to students learning data analysis, statistical modeling, or machine learning. Submit portfolio ..."
16,Statistics and Probability,Online Course,Mathematics,Low,Online,8-12,0.364,https://www.edx.org/learn/statistics,"Stanford University course covering probability theory and statistical inference. Descriptive statistics, probability distributions, hypothesis testing, and regression analysis. Applications to real-w..."
17,Khan Academy Statistics and Probability,Online Course,Mathematics,Low,Online,9-12,0.362,https://www.khanacademy.org/math,"Introduction to statistics and probability including data analysis, probability theory, distributions, inference, and hypothesis testing. Real-world applications and data interpretation. This Online C..."
18,Chegg - Women in Mathematics Scholarship,Scholarship,Mathematics,Low,Virtual,11-12,0.362,https://www.chegg.com/scholarships/stem-scholarships/women-mathematics,"$5,000 scholarship for female students pursuing mathematics or statistics. Must demonstrate strong mathematical ability and commitment to increasing female representation in mathematics. This Scholars..."
19,Pioneer Academics - Data Science and Statistics,Other,Artificial Intelligence/Machine Learning,High,Online,11-12,0.361,https://pioneeracademics.com/subjects/,"Research in data science, statistical analysis, or machine learning applications. Work with data science professor on topics like predictive modeling, big data analytics, or statistical inference. Stu..."
20,Chegg - Data Science and Analytics Scholarship,Scholarship,Data Science,Low,Virtual,11-12,0.356,https://www.chegg.com/scholarships/computer-science-scholarships/data-science,"$6,500 scholarship for students interested in data science, statistics, and analytics. Must demonstrate skills in data analysis, visualization, or programming. Portfolio or project examples encouraged..."
