rank,name,category,stem_field,financial_barrier,location_type,target_grade,similarity_score,url,description
1,Stanford Pre-Collegiate Data Science,Summer Program,Artificial Intelligence/Machine Learning,High,Residential,9-12,0.797,https://summerinstitutes.spcs.stanford.edu/,"Introduction to data science covering statistics, data analysis, visualization, and machine learning applications. Work with real datasets, learn Python and R, and develop data-driven projects. Includ..."
2,Bold.org - Data Science and Analytics Scholarship,Scholarship,Artificial Intelligence/Machine Learning,Low,Virtual,11-12,0.797,https://bold.org/scholarships/mathematics/,"$500-$3,000 scholarship for students interested in data science, statistics, or analytics careers. Open to students learning data analysis, statistical modeling, or machine learning. Submit portfolio ..."
3,Polygence - Data Science and Analytics,Mentorship Program,Artificial Intelligence/Machine Learning,High,Online,8-12,0.794,https://www.polygence.org/programs,"Research mentorship in data science, statistics, and analytics. Learn data collection, cleaning, analysis, and visualization. Projects may involve building predictive models, analyzing large datasets,..."
4,Pioneer Academics - Data Science and Statistics,Other,Artificial Intelligence/Machine Learning,High,Online,11-12,0.793,https://pioneeracademics.com/subjects/,"Research in data science, statistical analysis, or machine learning applications. Work with data science professor on topics like predictive modeling, big data analytics, or statistical inference. Stu..."
5,Wolfram Data Science Bootcamp,Workshop/Training,Artificial Intelligence/Machine Learning,Medium,Online,11-12,0.723,https://www.wolfram.com/wolfram-u/,"Intensive online bootcamp teaching data science using Wolfram Language. Learn data manipulation, visualization, machine learning, and statistical analysis. Real-world datasets and projects. Certificat..."
6,Coding Rooms - Python Data Science Basics,Learning Platform,Data Science,Low,Online,9-12,0.719,https://www.codingrooms.com/curriculum,"Introduction to data science with Python. Learn NumPy, Pandas, Matplotlib for data analysis and visualization. Work with real datasets, clean data, create charts, and derive insights. This Learning Pl..."
7,Data Scientist Career Path,Other,Artificial Intelligence/Machine Learning,Low,Online,12+,0.685,https://www.codecademy.com/learn/paths/data-science,"Learn Python, SQL, statistics, and machine learning to become a data scientist. Build a portfolio of data science projects and gain job-ready skills through hands-on practice. This Programming Course ..."
8,Data Science for Teens,Online Course,Artificial Intelligence/Machine Learning,Medium,Online,8-12,0.678,https://outschool.com/classes/stem,"Introduction to data analysis for ages 13-17. Python, pandas, visualization, and machine learning basics. This Online Class focuses on Data Science, Programming, Statistics and serves grade 8-12 stude..."
9,Scholly - Data Science Scholars,Scholarship,Data Science,Low,Virtual,11-12,0.661,https://myscholly.com/stem-scholarships/,"$1,000-$3,000 scholarship for students interested in data science and analytics. Open to students learning data analysis, statistical modeling, or data visualization. Submit portfolio of data projects..."
10,Data Science Foundations,Other,Data Science,Low,Online,9-12,0.645,https://skillsbuild.org/students/course-catalog,"Introduction to data science concepts, data analysis techniques, and data visualization. Students learn about statistical thinking, data cleaning, and interpreting data patterns. Includes practical ex..."
11,Kaggle Competitions for Students,Competition,Artificial Intelligence/Machine Learning,Low,Virtual,10-12,0.632,https://www.kaggle.com/competitions,Data science and machine learning competition platform. Free participation in competitions and learning resources. Student-friendly competitions available. Build portfolio while learning. This Competi...
12,Introduction to Statistics,Online Course,Data Science,Low,Online,10-12,0.619,https://www.udacity.com/course/intro-to-statistics--st101,"Learn statistical concepts and methods for data analysis. Descriptive statistics, probability, inference, and hypothesis testing. Use real datasets and statistical software. Foundation for data scienc..."
13,"Data Science and Analytics Scholarship - $6,500",Scholarship,Data Science,Low,Online,11-12,0.618,https://www.niche.com/colleges/scholarships/stem/,"Scholarship for students interested in data science, statistics, or analytics. Essay on data-driven project or analysis required. This Scholarship focuses on Data Science, Statistics, Mathematics and ..."
14,Raising Student Voice - Data Science Challenge,Competition,Data Science,Low,Online,8-12,0.617,https://www.raisingstudentvoice.com/competitions/data-science,Competition where students analyze real-world datasets to extract insights and create data visualizations. Appropriate for students learning statistics and data analysis. This Competition focuses on D...
15,Data Science High School Scholarship,Scholarship,Data Science,Low,Online,11-12,0.616,https://www.petersons.com/data-science-hs,"$2,500 award for data science students. For high school students with coding, statistics, and data analysis skills. This Scholarship focuses on Data Science, Statistics, Computer Science and serves gr..."
16,STEMfinity Statistics and Data Analysis,Learning Platform,Data Science,Low,Hybrid,7-12,0.613,https://www.stemfinity.com/STEM-Education,"Learn statistics through real-world data analysis projects. Topics include data collection, graphs, measures of center, and probability. This Learning Platform focuses on Mathematics, Statistics, Data..."
17,DMA Machine Learning & Data Science,Camp,Artificial Intelligence/Machine Learning,High,In-person,9-12,0.612,https://www.digitalmediaacademy.org/summer-camps,"Introduction to data science and machine learning with Python. Analyze datasets and build predictive models. This Camp focuses on Data Science, Artificial Intelligence, Programming and serves grade 9-..."
18,iD Tech Machine Learning & Data Science,Camp,Artificial Intelligence/Machine Learning,High,In-person,9-12,0.610,https://www.idtech.com/summer-camps,"Introduction to data science and machine learning with Python. Analyze datasets and build predictive models. This Camp focuses on Data Science, Artificial Intelligence, Programming and serves grade 9-..."
19,Introduction to Data Science,Online Course,Artificial Intelligence/Machine Learning,Low,Online,10-12,0.609,https://www.coursera.org/learn/what-is-datascience,"IBM course introducing data science concepts and tools. Learn Python, data analysis, visualization, and machine learning basics. Hands-on labs using real datasets. Great for students interested in STE..."
20,Introduction to Data Science,Online Course,Data Science,Low,Online,10-12,0.606,https://www.udacity.com/course/intro-to-data-science--ud359,"Learn data science basics including data analysis, visualization, and statistical thinking. Use Python, pandas, and matplotlib. Analyze real datasets and extract insights. Project-based learning with ..."
