rank,name,category,stem_field,financial_barrier,location_type,target_grade,similarity_score,url,description
1,Coding Rooms - Web Development with Flask,Learning Platform,Web Development,Low,Online,9-12,0.583,https://www.codingrooms.com/curriculum,"Build web applications using Python Flask framework. Learn routing, templates, forms, databases, user authentication, and deployment. Create full-stack web projects. This Learning Platform focuses on ..."
2,BYJU'S Future School - Python Programming (Ages 10-14),Online Course,Software Engineering,High,Online,5-9,0.507,https://www.byjusfutureschool.com/,"Text-based Python programming for middle schoolers. Learn variables, functions, data structures, and real-world applications. Build games, tools, and projects with professional programming language. T..."
3,Coding Rooms - Advanced Python Programming,Learning Platform,Software Engineering,Low,Online,9-12,0.486,https://www.codingrooms.com/curriculum,"Advanced Python for high school students. Object-oriented programming, file handling, modules, libraries, APIs, and data structures. Prepare for AP Computer Science Principles and college-level progra..."
4,Sphero Python Programming Course,Learning Platform,Software Engineering,Low,Hybrid,9-12,0.469,https://edu.sphero.com/,Learn Python programming using Sphero RVR robot. Text-based coding for advanced students. Real-world programming applications and sensor integration. This Learning Platform focuses on Computer Science...
5,Code Ninjas Web Development Track,Other,Web Development,High,In-person,K-8,0.466,https://www.codeninjas.com/programs,"Learn HTML, CSS, and JavaScript to build websites. Full-stack web development fundamentals. Create responsive websites and web applications. This Afterschool Program focuses on Computer Science, Web D..."
6,CMU Robotics Academy - Python for Robotics,Workshop/Training,Software Engineering,Low,Classroom,7-12,0.464,https://www.cs2n.org/curriculum,"Learn Python programming through robotics applications. Variables, loops, functions, and object-oriented programming with robot control. Modern language for versatile applications. This Curriculum foc..."
7,DMA Discord Bot Development,Camp,Web Development,High,In-person,9-12,0.460,https://www.digitalmediaacademy.org/summer-camps,"Build custom Discord bots using Python. Learn API integration and bot programming. This Camp focuses on Programming, Computer Science, Web Development and serves grade 9-12 students. The program requi..."
8,Web Development Career Path,Other,Web Development,Low,Online,10-12,0.459,https://www.codecademy.com/learn/paths/web-development,"Learn front-end and back-end web development skills including HTML, CSS, JavaScript, React, Node.js, and databases. Build full-stack web applications. This Programming Course focuses on Computer Scien..."
9,iD Tech Discord Bot Development,Camp,Web Development,High,In-person,9-12,0.457,https://www.idtech.com/summer-camps,"Build custom Discord bots using Python. Learn API integration and bot programming. This Camp focuses on Programming, Computer Science, Web Development and serves grade 9-12 students. The program requi..."
10,"Web Development Scholarship - $6,000",Scholarship,Web Development,Low,Online,11-12,0.446,https://www.niche.com/colleges/scholarships/stem/,"Award for students with web development skills. Portfolio of websites or web applications required. This Scholarship focuses on Web Development, Computer Science, Programming and serves grade 10-12 st..."
11,CodeCombat Python Programming Track,Learning Platform,Software Engineering,Low,Online,6-12,0.442,https://codecombat.com/play,"Learn Python programming through adventure-based gameplay. Covers fundamentals including variables, loops, functions, and object-oriented programming in an engaging fantasy setting. This Learning Plat..."
12,Web Development High School Scholarship,Scholarship,Web Development,Low,Online,11-12,0.438,https://www.petersons.com/web-dev-hs,"$2,000 scholarship for web developers. For high school students with HTML, CSS, JavaScript, and web design skills. This Scholarship focuses on Web Development, Computer Science, Software Engineering a..."
13,Web Development High School Scholarship,Scholarship,Web Development,Low,Online,11-12,0.437,https://www.scholarships.com/web-dev-hs,"$1,500 scholarship for web developers. For high school students with HTML, CSS, JavaScript, and web design skills. This Scholarship focuses on Web Development, Computer Science, Software Engineering a..."
14,Chegg - Web Development and Design Scholarship,Scholarship,Web Development,Low,Virtual,11-12,0.430,https://www.chegg.com/scholarships/computer-science-scholarships/web-development,"$4,000 scholarship for students interested in web development, front-end design, or full-stack development. Must submit portfolio of websites or web applications created. This Scholarship focuses on W..."
15,Scholly - Future Coders Scholarship,Scholarship,Web Development,Low,Virtual,11-12,0.418,https://myscholly.com/computer-science-scholarships/,"$500-$2,500 scholarship for students learning programming and computer science. Open to high school students with interest in software development, web development, or app creation. Submit portfolio o..."
16,SkillsUSA Web Design,Other,Web Development,Low,Regional and national competition sites,9-12,0.417,https://www.skillsusa.org/competitions/skillsusa-championships/,"Website development competition testing HTML, CSS, JavaScript, and responsive design. Students create functional websites meeting client specifications. Covers user experience (UX), accessibility, and..."
17,Web Development High School Scholarship,Scholarship,Web Development,Low,Online,11-12,0.416,https://www.chegg.com/scholarships/web-dev-hs,"$2,000 scholarship for web developers. For high school students with HTML, CSS, and JavaScript skills. This Scholarship focuses on Web Development, Computer Science, Software Engineering and serves gr..."
18,Tynker Web Development Course,Learning Platform,Web Development,Low,Online,6-12,0.405,https://www.tynker.com/courses/,"Full-stack web development covering HTML, CSS, JavaScript, and backend basics. Build responsive websites, web apps, and interactive experiences. This Learning Platform focuses on Web Development, Comp..."
19,Tynker Advanced Python Programming,Learning Platform,Software Engineering,Low,Online,9-12,0.403,https://www.tynker.com/courses/,"Advanced Python course covering object-oriented programming, data structures, algorithms, and libraries. Build complex projects and prepare for AP Computer Science. This Learning Platform focuses on C..."
20,DMA Web Development Camp,Camp,Web Development,High,In-person,9-12,0.386,https://www.digitalmediaacademy.org/summer-camps,"Build responsive websites using HTML, CSS, and JavaScript. Learn full-stack web development fundamentals. This Camp focuses on Web Development, Computer Science, Programming and serves grade 9-12 stud..."
