rank,name,category,stem_field,financial_barrier,location_type,target_grade,similarity_score,url,description
1,Pioneer Academics - Artificial Intelligence and Machine Learning,Other,Artificial Intelligence/Machine Learning,High,Online,11-12,0.905,https://pioneeracademics.com/subjects/,"Research track exploring artificial intelligence, machine learning algorithms, and neural networks. Work with professor specializing in AI to develop original research project. Topics may include comp..."
2,Scholly - AI and Machine Learning Scholarship,Scholarship,Artificial Intelligence/Machine Learning,Low,Virtual,11-12,0.868,https://myscholly.com/computer-science-scholarships/,"$500-$2,000 scholarship for students exploring artificial intelligence and machine learning. Open to students learning about neural networks, data science, or AI applications. Submit project descripti..."
3,Artificial Intelligence Learning Path,Other,Artificial Intelligence/Machine Learning,Low,Online,9-12,0.866,https://skillsbuild.org/students,"Comprehensive learning path covering AI fundamentals, machine learning concepts, and practical applications. Students learn about neural networks, AI ethics, and real-world AI implementations. Suitabl..."
4,Carnegie Mellon AI Scholars Program,Mentorship Program,Artificial Intelligence/Machine Learning,Low,Virtual,9-12,0.857,https://www.cs.cmu.edu/,Virtual mentorship program teaching artificial intelligence and machine learning to high school students. Weekly online sessions with CMU faculty and graduate students. Hands-on projects applying AI t...
5,TKS - Artificial Intelligence and Machine Learning Focus,Program/Initiative,Artificial Intelligence/Machine Learning,High,Online,8-12,0.850,https://www.tks.world/program,"Deep dive into AI and machine learning within TKS program. Learn neural networks, computer vision, natural language processing, and AI ethics. Build AI-powered applications and models. Work on real-wo..."
6,Stanford Pre-Collegiate Artificial Intelligence,Summer Program,Artificial Intelligence/Machine Learning,High,Residential,9-12,0.850,https://summerinstitutes.spcs.stanford.edu/,"Advanced AI and machine learning program covering neural networks, computer vision, natural language processing, and AI ethics. Programming projects using Python and ML frameworks. Learn from Stanford..."
7,CMU Robotics Academy - Intro to AI and Machine Learning,Workshop/Training,Artificial Intelligence/Machine Learning,Low,Classroom,9-12,0.846,https://www.cs2n.org/curriculum,"Introduction to artificial intelligence and machine learning using robotics. Teach robots to learn from data, recognize patterns, and make decisions. Accessible AI concepts for high schoolers. This Cu..."
8,AI Scholars,Summer Program,Artificial Intelligence/Machine Learning,High,Residential,9-12,0.840,https://www.cmu.edu/pre-college/,"Intensive summer program exploring artificial intelligence and machine learning. Students work on AI projects, learn from CMU faculty, and gain hands-on experience with cutting-edge AI technologies. C..."
9,Cappex - Artificial Intelligence and Machine Learning Scholarship,Scholarship,Artificial Intelligence/Machine Learning,Low,Virtual,11-12,0.837,https://www.cappex.com/scholarships/computer-science/artificial-intelligence,"$6,000 scholarship for students interested in artificial intelligence and machine learning. Must demonstrate understanding of AI concepts through projects, coursework, or competitions. This Scholarshi..."
10,"Artificial Intelligence Scholarship - $9,000",Scholarship,Artificial Intelligence/Machine Learning,Low,Online,11-12,0.834,https://www.niche.com/colleges/scholarships/stem/,"Award for students exploring AI, machine learning, or neural networks. Project demonstrating AI application required. This Scholarship focuses on Artificial Intelligence, Computer Science, Machine Lea..."
11,Raising Student Voice - AI and Machine Learning Challenge,Competition,Artificial Intelligence/Machine Learning,Low,Online,9-12,0.827,https://www.raisingstudentvoice.com/competitions/ai-ml,Competition focused on artificial intelligence and machine learning projects for high school students. Students develop AI models to solve real-world problems. This Competition focuses on Artificial I...
12,BYJU'S Future School - Artificial Intelligence Fundamentals (Ages 13-18),Online Course,Artificial Intelligence/Machine Learning,High,Online,9-12,0.827,https://www.byjusfutureschool.com/,"Explore artificial intelligence and machine learning concepts. Build AI projects, understand neural networks, and create intelligent applications. Advanced programming with cutting-edge technology. Th..."
13,Brilliant.org Machine Learning,Online Course,Artificial Intelligence/Machine Learning,Low,Online,10-12,0.818,https://brilliant.org/courses/machine-learning/,"Introduction to AI and machine learning concepts. Learn classification, regression, and neural networks through interactive visualizations. No advanced math required initially. Build ML intuition. Gre..."
14,Chegg - Artificial Intelligence Scholarship,Scholarship,Artificial Intelligence/Machine Learning,Low,Virtual,11-12,0.813,https://www.chegg.com/scholarships/computer-science-scholarships/artificial-intelligence,"$9,000 scholarship for students interested in artificial intelligence and machine learning. Must demonstrate understanding of AI concepts through projects, coursework, or competitions. This Scholarshi..."
15,AI4ALL Open Learning,Online Course,Artificial Intelligence/Machine Learning,Low,Online,12-SEP,0.813,https://ai-4-all.org/open-learning/,"Free self-paced AI curriculum available year-round. Video lectures, coding exercises, and projects. Learn AI fundamentals at your own pace. Topics include machine learning, neural networks, and AI eth..."
16,Coding Rooms - Machine Learning Fundamentals,Learning Platform,Artificial Intelligence/Machine Learning,Low,Online,9-12,0.809,https://www.codingrooms.com/curriculum,"High school introduction to machine learning with Python. Learn supervised learning, regression, classification, neural networks basics using scikit-learn. Build predictive models and understand AI co..."
17,Artificial Intelligence Basics,Online Course,Artificial Intelligence/Machine Learning,Medium,Online,6-8,0.800,https://outschool.com/classes/stem,"Introduction to AI and machine learning for ages 12-16. Neural networks, training models, and AI applications. This Online Class focuses on Artificial Intelligence, Computer Science, Machine Learning ..."
18,Introduction to Artificial Intelligence,Online Course,Artificial Intelligence/Machine Learning,Low,Online,9-12,0.797,https://www.udacity.com/course/intro-to-artificial-intelligence--cs271,"Explore AI fundamentals including search algorithms, game playing, machine learning, and robotics. Learn from AI pioneer Sebastian Thrun. Hands-on projects implementing AI techniques. Challenging but ..."
19,Polygence - Computer Science and AI Projects,Mentorship Program,Artificial Intelligence/Machine Learning,High,Online,8-12,0.786,https://www.polygence.org/programs,"One-on-one mentorship in computer science, artificial intelligence, and machine learning. Build software applications, train neural networks, or explore computational theory. Projects can include deve..."
20,Introduction to Machine Learning,Online Course,Artificial Intelligence/Machine Learning,Low,Online,11-12,0.783,https://www.udacity.com/course/intro-to-machine-learning--ud120,"Learn machine learning fundamentals including supervised and unsupervised learning. Explore classification, regression, and clustering algorithms. Use Python and scikit-learn. Real-world projects and ..."
