rank,name,category,stem_field,financial_barrier,location_type,target_grade,similarity_score,url,description
1,Coding Rooms - Introduction to Python (Elementary),Learning Platform,Software Engineering,Low,Online,K-5,0.497,https://www.codingrooms.com/curriculum,"Beginner-friendly Python course for elementary students. Learn variables, basic input/output, simple loops, and fundamental programming concepts. Visual and interactive exercises with collaborative co..."
2,Python Programming for Beginners,Online Course,Software Engineering,Medium,Online,K-8,0.472,https://outschool.com/classes/coding,"Introduction to Python programming for ages 10-14. Learn variables, loops, functions, and create interactive projects including games and animations. This Online Class focuses on Computer Science, Pro..."
3,Brilliant.org Python Programming,Online Course,Software Engineering,Low,Online,9-12,0.472,https://brilliant.org/courses/programming-python/,Learn Python through interactive coding challenges and projects. Start with basics and progress to data structures and algorithms. Immediate feedback on code. Build real programs and games. Perfect fo...
4,BYJU'S Future School - Python Programming (Ages 10-14),Online Course,Software Engineering,High,Online,5-9,0.430,https://www.byjusfutureschool.com/,"Text-based Python programming for middle schoolers. Learn variables, functions, data structures, and real-world applications. Build games, tools, and projects with professional programming language. T..."
5,STEMfinity Python Programming for Beginners,Learning Platform,Software Engineering,Low,Online,6-12,0.429,https://www.stemfinity.com/STEM-Education,"Introductory Python programming lessons and projects for middle and high school students. Learn variables, loops, functions, and data structures. This Learning Platform focuses on Computer Science, Pr..."
6,Coding Rooms - Python Game Development,Learning Platform,Software Engineering,Low,Online,6-8,0.419,https://www.codingrooms.com/curriculum,"Create games using Python and Pygame library. Learn game loops, sprites, collision detection, animation, sound, and game design principles. Build classic arcade games and original projects. This Learn..."
7,Tynker Summer Coding Camp - Python,Camp,Software Engineering,Medium,Online,6-12,0.407,https://www.tynker.com/summer-camps/,"Intensive week-long Python programming camp for beginners and intermediate students. Build projects, learn syntax, and develop problem-solving skills with live instructors. This Camp focuses on Comput..."
8,TEALS Introduction to Python,Other,Software Engineering,Low,School-based,9-12,0.404,https://www.microsoft.com/en-us/teals,Python programming course for high school students. Learn fundamental programming concepts using Python. Industry volunteers support classroom instruction. Hands-on projects and real-world application...
9,CMU Robotics Academy - Python for Robotics,Workshop/Training,Software Engineering,Low,Classroom,7-12,0.375,https://www.cs2n.org/curriculum,"Learn Python programming through robotics applications. Variables, loops, functions, and object-oriented programming with robot control. Modern language for versatile applications. This Curriculum foc..."
10,Introduction to Python Programming,Online Course,Software Engineering,Low,Online,9-12,0.359,https://www.edx.org/learn/python/georgia-institute-of-technology-computing-in-python-i-fundamentals-and-procedural-programming,"Georgia Tech course introducing Python programming fundamentals. Learn variables, conditionals, loops, functions, and object-oriented programming. Designed for beginners with no prior coding experienc..."
11,Scratch Programming Platform,Other,Software Engineering,Low,Online,K-12,0.352,https://scratch.mit.edu/,"Free visual block-based programming platform from MIT for all ages. Create interactive stories, games, and animations by snapping together code blocks. No typing required - drag and drop programming. ..."
12,Learn Python 3,Online Course,Software Engineering,Low,Online,9-12,0.307,https://www.codecademy.com/learn/learn-python-3,"Learn the basics of Python 3, one of the most powerful, versatile, and in-demand programming languages today. Build foundational programming skills through interactive lessons and projects. This Onlin..."
13,Minecraft Coding with Python,Online Course,Software Engineering,Medium,Online,K-8,0.303,https://outschool.com/classes/coding,"Program Minecraft worlds using Python. Ages 10-14 learn coding while building automated structures and custom game modes. This Online Class focuses on Programming, Computer Science, Game Design and se..."
14,Sphero Mini Edu Elementary Coding,Learning Platform,Software Engineering,Low,Hybrid,K-5,0.298,https://edu.sphero.com/,"Introduction to coding for elementary students using Sphero Mini robot. Face-drive, block coding, and simple programming concepts through play-based learning. This Learning Platform focuses on Robotic..."
15,AoPS Introduction to Programming with Python,Learning Platform,Software Engineering,High,Online,6-8,0.297,https://artofproblemsolving.com/online-school,"Learn Python programming fundamentals including variables, loops, functions, and basic algorithms. Project-based approach with mathematical applications. This Learning Platform focuses on Computer Sci..."
16,STEM Challenge Scratch Game Programming,Learning Platform,Software Engineering,Low,Online,K-8,0.295,https://www.stemchallenge.org/resources/,"Resources and tutorials specifically for creating games in Scratch. Learn block-based coding, game mechanics, character design, and how to submit Scratch games to the competition. This Learning Platfo..."
17,Scratch Ideas Page,Other,Software Engineering,Low,Online,K-12,0.290,https://scratch.mit.edu/ideas,"Curated project ideas and coding tutorials. Step-by-step guides for creating games, animations, and stories. Organized by difficulty level and topic. Video tutorials and activity cards. Perfect for se..."
18,Hour of Code - Star Wars,Other,Software Engineering,Low,Online,9-12,0.289,https://code.org/starwars,Programming introduction featuring Star Wars characters and storylines. Students use visual programming blocks to guide BB-8 and other characters through coding challenges and adventures. This Coding ...
19,Hour of Code - Frozen,Other,Software Engineering,Low,Online,K-8,0.286,https://code.org/frozen,Creative programming activity using Disney Frozen characters. Students learn basic programming concepts while creating interactive animations and controlling character movements through code. This Cod...
20,Coolmath Games - Maze and Pathfinding Games,Learning Platform,Computer Science,Low,Online,K-12,0.270,https://www.coolmathgames.com/,"Navigation puzzles and maze games that develop spatial reasoning, planning, and algorithmic thinking. Games teach graph theory concepts, shortest path problems, and systematic exploration. This Learni..."
