rank,name,category,stem_field,financial_barrier,location_type,target_grade,similarity_score,url,description
1,Tynker Music & Sound Programming,Learning Platform,Software Engineering,Low,Online,K-8,0.676,https://www.tynker.com/courses/,"Create music and sound effects through code. Learn music theory basics, sound synthesis, and build interactive musical instruments and compositions. This Learning Platform focuses on Music Technology,..."
2,SkillsUSA Engineering Technology/Design,Other,Engineering,Low,Regional and national competition sites,9-12,0.300,https://www.skillsusa.org/competitions/skillsusa-championships/,"Team-based engineering design competition solving real-world problems. Teams research, design, prototype, and present engineering solutions using technical documentation and CAD models. Emphasizes STE..."
3,Stanford Pre-Collegiate Engineering,Summer Program,Engineering,High,Residential,9-12,0.287,https://summerinstitutes.spcs.stanford.edu/,"Engineering design and problem-solving program introducing students to various engineering disciplines. Includes mechanical, electrical, biomedical, and computer engineering projects. Team-based desig..."
4,"Davidson Fellows Scholarship - $50,000",Scholarship,Computer Science,Low,Online,9-12,0.283,https://www.davidsongifted.org/gifted-programs/fellows-scholarship/,"Prestigious scholarship recognizing extraordinary students under 18 who have completed significant projects in STEM, literature, music, or philosophy. $50,000 award for exceptional accomplishments dem..."
5,"Davidson Fellows Scholarship - $25,000",Scholarship,Computer Science,Low,Online,9-12,0.276,https://www.davidsongifted.org/gifted-programs/fellows-scholarship/,"Scholarship for students under 18 with significant accomplishments in STEM, literature, music, or philosophy. $25,000 award recognizing substantial projects showing originality and impact. Comprehensi..."
6,"Davidson Fellows Scholarship - $10,000",Scholarship,Computer Science,Low,Online,9-12,0.273,https://www.davidsongifted.org/gifted-programs/fellows-scholarship/,"Recognition scholarship for students under 18 completing noteworthy projects in STEM, literature, music, or philosophy. $10,000 award for significant work demonstrating intellectual rigor. Application..."
7,PBS Kids - Design Squad: Build a Skyscraper,Learning Platform,Engineering,Low,Online,1-3,0.270,https://pbskids.org/games/engineering/,"Engineering design challenge building stable structures. Test materials, design foundations, and create earthquake-resistant buildings. Ages 6-8 learn structural engineering, material properties, and ..."
8,Raising Student Voice - 3D Design and Printing Challenge,Competition,Engineering,Low,Hybrid,6-12,0.269,https://www.raisingstudentvoice.com/competitions/3d-design,"Competition focused on 3D modeling and printing technology. Students design functional objects, artistic creations, or solutions to engineering problems. This Competition focuses on Design, Engineerin..."
9,NYLF Engineering,Other,Engineering,High,Regional,10-12,0.260,https://www.nylf.org/programs/engineering,"Multi-day engineering career exploration and leadership program. Students work on engineering challenges, meet professional engineers, visit engineering firms and labs, and explore various engineering..."
10,Global Cultures and Emerging Technology,Summer Program,Artificial Intelligence/Machine Learning,High,Residential,10-12,0.258,https://www.cmu.edu/pre-college/,"Interdisciplinary program examining technology impact on global cultures and societies. Explore ethical issues, cultural perspectives on technology, and technology applications worldwide. Includes hum..."
11,JASON Engineering Design Challenges,Other,Engineering,Low,Classroom and online,K-12,0.253,https://www.jason.org/programs/,"Project-based engineering activities where students design, build, and test solutions to real-world problems. Challenges include robotics, renewable energy, structural engineering, and environmental s..."
12,USC Viterbi Engineering Summer Programs,Camp,Engineering,High,In-Person,9-12,0.244,https://viterbik12.usc.edu/summer/,"Multi-week residential program for high school students at USC. Engineering exploration, college prep, and design projects. Access to university facilities and mentors. This Camp focuses on Engineerin..."
13,PLTW Engineering - Introduction to Engineering Design,Other,Engineering,Medium,School-based,9-12,0.240,https://www.pltw.org/our-programs/pltw-engineering/pltw-engineering-courses/introduction-engineering-design,"Students dig deep into the engineering design process while applying mathematical analysis, scientific principles, and engineering standards to solve engineering problems. This Engineering Program foc..."
14,Broadcom MASTERS - Samueli Foundation Prize,Competition,Engineering,Low,Hybrid,9-12,0.234,https://www.societyforscience.org/broadcom-masters/,Special award for engineering projects in MASTERS competition. Recognizes outstanding middle school engineering research. Additional prize and recognition for finalists. This Competition focuses on En...
15,Stanford Pre-Collegiate Summer Engineering Academy,Camp,Engineering,High,In-Person,9-10,0.232,https://spcs.stanford.edu/engineering-academy,"Three-week residential program introducing high school students to engineering disciplines. Design projects, lab work, campus tours, and college prep. Led by Stanford faculty and graduate students. Th..."
16,Engineers Week Classroom Activities,Conference/Event,Engineering,Low,In-person,11-12,0.215,https://www.discovere.org/our-programs,"Engineering activities and projects designed for Engineers Week celebration. Ready-to-use lessons for elementary through high school. This Event focuses on Engineering, Technology, Design and serves g..."
17,Amplify Science K - Pushes and Pulls,Workshop/Training,Engineering,Low,Classroom,9-12,0.209,https://amplify.com/programs/amplify-science,Explore forces through investigation and design challenges. Test how pushes and pulls affect object motion. Design and build solutions using force concepts. Includes physical materials and digital mod...
18,Destination Imagination Engineering Challenge,Other,Engineering,Medium,Regional tournaments,9-12,0.208,https://www.destinationimagination.org/challenge-programs/,"Teams design and construct engineering solutions to specific problems, often involving structures, machines, or mechanisms. Challenges test understanding of physics, structural integrity, and mechanic..."
19,SWENext — Inspiring STEM Stars,Other,Engineering,Low,In-person,9-12,0.201,https://swe.org/k-12-outreach/,Other SWE Properties SWENext is afree programthat allows students ages 5 through 18 to join the SWE engineering and technology community. The Society of Women Engineers SWENext program inspires creati...
