rank,name,category,stem_field,financial_barrier,location_type,target_grade,similarity_score,url,description
1,STEMfinity Earth Science and Geology,Learning Platform,Other STEM,Low,Hybrid,K-12,0.604,https://www.stemfinity.com/Free-STEM-Activities,"Earth science activities covering rocks and minerals, weather, climate, plate tectonics, and space. Includes virtual simulations and hands-on experiments. This Learning Platform focuses on Earth Scien..."
2,Gizmos - Plate Tectonics,Learning Platform,Other STEM,Medium,Online,6-8,0.574,https://gizmos.explorelearning.com/,"Model plate boundaries and continental drift. Simulate earthquakes, volcanoes, and mountain formation. Grades 7-9 explore geophysical processes shaping Earth. This Learning Platform focuses on Earth S..."
3,Gizmos - Rock Cycle,Learning Platform,Other STEM,Medium,Online,6-8,0.539,https://gizmos.explorelearning.com/,"Simulate rock formation and transformation processes. Explore igneous, sedimentary, and metamorphic rocks. Grades 6-8 understand geological cycles and Earth processes. This Learning Platform focuses o..."
4,IXL Science - Earth Science,Learning Platform,Other STEM,High,Online,9-12,0.534,https://www.ixl.com/science/earth-science,"High school Earth science with 350+ skills. Geology, meteorology, oceanography, astronomy, and environmental science. Study Earth systems and space. This Learning Platform focuses on Science, Earth Sc..."
5,"Geology and Earth Sciences Scholarship - $5,500",Scholarship,Earth Sciences,Low,Online,11-12,0.531,https://www.niche.com/colleges/scholarships/stem/,"Award for students interested in geology, earth science, or geophysics. Essay on geological processes required. This Scholarship focuses on Geology, Earth Science, Environmental Science and serves gra..."
6,Mystery Science - 5th Grade: Earth's Systems,Learning Platform,Earth Sciences,Low,Classroom,5,0.496,https://mysteryscience.com/school/overview,"Explore interactions between geosphere, hydrosphere, atmosphere, and biosphere. Study water cycle, rock cycle, and climate systems. Video lessons on Earth system science. Model system interactions. Th..."
7,Mystery Science - 2nd Grade: Earth's Land and Water,Learning Platform,Other STEM,Low,Classroom,K-5,0.487,https://mysteryscience.com/school/overview,"Explore Earth's diverse landscapes and water features. Study mountains, valleys, rivers, and oceans. Map local landforms and water sources. Video tours of geological formations and erosion processes. ..."
8,Amplify Science 8 - Earth History,Workshop/Training,Other STEM,Low,Classroom,8,0.474,https://amplify.com/programs/amplify-science,"Investigate fossil record and geological evidence of Earth's past. Study radiometric dating, fossil formation, and mass extinctions. Reconstruct ancient environments. Includes fossil analysis and time..."
9,Amplify Science 7 - Rock Transformations,Workshop/Training,Other STEM,Low,Classroom,7,0.462,https://amplify.com/programs/amplify-science,"Investigate rock cycle and mineral formation processes. Study metamorphism, crystallization, and geological processes. Identify rocks and minerals. Includes geological timescale and Earth history. 8-1..."
10,Mystery Science - 4th Grade: Weathering and Erosion,Learning Platform,Earth Sciences,Low,Classroom,4,0.446,https://mysteryscience.com/school/overview,"Investigate how Earth's surface changes over time. Model erosion processes using wind, water, and ice. Video lessons on geological changes. Map erosion patterns in local environment. This Learning Pla..."
11,Mystery Science - 3rd Grade: Fossils and Ancient Life,Learning Platform,Other STEM,Low,Classroom,3,0.439,https://mysteryscience.com/school/overview,Discover how fossils form and what they reveal about ancient organisms. Create fossil models and study geological time. Video explorations of paleontology. Learn how scientists reconstruct ancient env...
12,Amplify Science 6 - Plate Tectonics and Rock Cycling,Workshop/Training,Other STEM,Low,Classroom,6-8,0.420,https://amplify.com/programs/amplify-science,"Investigate plate boundaries, earthquakes, and rock formation. Model convection currents and tectonic movement. Study rock cycle and geological time. Includes rock identification and digital plate mod..."
13,PBS Kids - Nature Cat: Nature Explore,Learning Platform,Biology,Low,Online,PreK-1,0.413,https://pbskids.org/games/science/,"Outdoor science exploration with Nature Cat. Investigate ecosystems, weather, and natural phenomena. Ages 3-6 learn earth science, biology, and environmental awareness through virtual nature adventure..."
14,NASA SEES (STEM Enhancement in Earth Science) Virtual Internship,Research Opportunity,Earth Sciences,Low,Virtual,11-12,0.409,https://www.nasa.gov/stem/sees/,"Free virtual summer internship focused on Earth science research. Students work with NASA scientists on real research projects. Weekly webinars, online collaboration, and final presentations. No trave..."
15,Mystery Science - 3rd Grade: Weather and Climate,Learning Platform,Data Science,Low,Classroom,3,0.380,https://mysteryscience.com/school/overview,"Investigate weather patterns and climate zones. Track temperature, precipitation, and wind over time. Video lessons on meteorology and climate science. Build weather instruments and analyze data. This..."
16,Gizmos - Water Cycle,Learning Platform,Earth Sciences,Medium,Online,K-8,0.364,https://gizmos.explorelearning.com/,"Trace water movement through Earth systems. Model evaporation, condensation, precipitation, and groundwater flow. Grades 5-8 understand hydrological processes. This Learning Platform focuses on Earth ..."
17,Amplify Science 5 - Earth's Water,Workshop/Training,Engineering,Medium,Classroom,5,0.362,https://amplify.com/programs/amplify-science,"Investigate how water moves through Earth systems. Study water cycle, watersheds, and water conservation. Test water purification methods. Includes watershed mapping and digital water cycle simulation..."
18,NASA GLOBE Student Research,Other,Earth Sciences,Low,Virtual,11-12,0.347,https://www.globe.gov/do-globe/student-research,"Conduct environmental observations and research projects connected to NASA Earth science missions. Collect real scientific data for NASA research. This Federal Program focuses on Earth Science, Enviro..."
19,Mystery Science - Kindergarten: Sunlight and Weather,Learning Platform,Other STEM,Low,Classroom,K-5,0.346,https://mysteryscience.com/school/overview,"Investigate how sunlight affects Earth and weather patterns. Video-based exploration of day/night, seasons, and temperature. Simple outdoor observations and data collection. NGSS-aligned earth science..."
20,Polygence - Environmental Science and Sustainability,Mentorship Program,Biology,High,Online,8-12,0.331,https://www.polygence.org/programs,"Research mentorship in environmental science, climate change, and sustainability. Explore ecology, conservation, renewable energy, or environmental policy. Projects may involve data analysis, climate ..."
