rank,name,category,stem_field,financial_barrier,location_type,target_grade,similarity_score,url,description
1,STEMfinity Web Development Basics,Learning Platform,Web Development,Low,Online,7-12,0.798,https://www.stemfinity.com/STEM-Education,"Learn HTML, CSS, and JavaScript to build websites. Step-by-step tutorials for creating responsive web pages and interactive features. This Learning Platform focuses on Web Development, Computer Scienc..."
2,DMA Web Development Camp,Camp,Web Development,High,In-person,9-12,0.793,https://www.digitalmediaacademy.org/summer-camps,"Build responsive websites using HTML, CSS, and JavaScript. Learn full-stack web development fundamentals. This Camp focuses on Web Development, Computer Science, Programming and serves grade 9-12 stud..."
3,iD Tech Web Development Camp,Camp,Web Development,High,In-person,9-12,0.789,https://www.idtech.com/summer-camps,"Build responsive websites using HTML, CSS, and JavaScript. Learn full-stack web development fundamentals. This Camp focuses on Web Development, Computer Science, Programming and serves grade 9-12 stud..."
4,Web Development Basics,Online Course,Web Development,Low,Online,9-12,0.764,https://skillsbuild.org/students/course-catalog,"Learn web development fundamentals including HTML, CSS, and JavaScript basics. Create responsive web pages and understand web design principles. Hands-on projects guide students through building their..."
5,Web Development Career Path,Other,Web Development,Low,Online,10-12,0.757,https://www.codecademy.com/learn/paths/web-development,"Learn front-end and back-end web development skills including HTML, CSS, JavaScript, React, Node.js, and databases. Build full-stack web applications. This Programming Course focuses on Computer Scien..."
6,Web Lab Development,Online Course,Web Development,Low,Online,6-12,0.727,https://code.org/educate/weblab,"HTML, CSS, and web development fundamentals for creating responsive websites. Students learn front-end web development skills through hands-on projects and real-world applications. This Online Course ..."
7,Coding Rooms - JavaScript for Beginners,Learning Platform,Web Development,Low,Online,7-12,0.713,https://www.codingrooms.com/curriculum,"Introduction to JavaScript programming and web development. Learn variables, functions, DOM manipulation, events, and interactive web pages. Build browser-based projects and games. This Learning Platf..."
8,DMA Discord Bot Development,Camp,Web Development,High,In-person,9-12,0.705,https://www.digitalmediaacademy.org/summer-camps,"Build custom Discord bots using Python. Learn API integration and bot programming. This Camp focuses on Programming, Computer Science, Web Development and serves grade 9-12 students. The program requi..."
9,iD Tech Discord Bot Development,Camp,Web Development,High,In-person,9-12,0.699,https://www.idtech.com/summer-camps,"Build custom Discord bots using Python. Learn API integration and bot programming. This Camp focuses on Programming, Computer Science, Web Development and serves grade 9-12 students. The program requi..."
10,TEALS Web Development,Other,Web Development,Low,School-based,9-12,0.693,https://www.microsoft.com/en-us/teals,"Web development course teaching HTML, CSS, JavaScript, and responsive design. Students build real websites and web applications. Industry mentors share professional web development practices. Project-..."
11,Learn HTML & CSS,Online Course,Web Development,Low,Online,8-12,0.693,https://www.codecademy.com/learn/learn-html,"Learn the fundamentals of web development with HTML and CSS. Create and style your own websites from scratch using the building blocks of the web. This Online Course focuses on Computer Science, Web D..."
12,Introduction to HTML and CSS,Online Course,Web Development,Low,Online,9-12,0.691,https://www.udacity.com/course/intro-to-html-and-css--ud001,Learn to build and style web pages with HTML and CSS. Create responsive layouts and modern web designs. Hands-on projects building real websites. Perfect for beginners interested in web development. F...
13,Coding Rooms - HTML & CSS Web Fundamentals,Learning Platform,Web Development,Low,Online,6-12,0.691,https://www.codingrooms.com/curriculum,"Web development foundations with HTML and CSS. Create structured web pages, style with CSS, responsive design basics, and portfolio projects. Visual introduction to web technologies. This Learning Pla..."
14,Coding Rooms - Web Development with Flask,Learning Platform,Web Development,Low,Online,9-12,0.682,https://www.codingrooms.com/curriculum,"Build web applications using Python Flask framework. Learn routing, templates, forms, databases, user authentication, and deployment. Create full-stack web projects. This Learning Platform focuses on ..."
15,"Build a Website with HTML, CSS, and GitHub Pages",Online Course,Web Development,Low,Online,8-12,0.664,https://www.codecademy.com/learn/make-a-website,"Hands-on project course where students build and deploy a personal website using HTML, CSS, and GitHub Pages. Learn web development through practical application. This Online Course focuses on Compute..."
16,SkillsUSA Web Design,Other,Web Development,Low,Regional and national competition sites,9-12,0.657,https://www.skillsusa.org/competitions/skillsusa-championships/,"Website development competition testing HTML, CSS, JavaScript, and responsive design. Students create functional websites meeting client specifications. Covers user experience (UX), accessibility, and..."
17,BYJU'S Future School - Web Development (Ages 12-18),Online Course,Web Development,High,Online,7-12,0.652,https://www.byjusfutureschool.com/,"Full-stack web development teaching HTML, CSS, JavaScript, and modern frameworks. Build responsive websites, interactive applications, and portfolio projects. Industry-relevant skills with personalize..."
18,Learn JavaScript,Online Course,Web Development,Low,Online,9-12,0.643,https://www.codecademy.com/learn/introduction-to-javascript,Learn JavaScript fundamentals and start building interactive web applications. JavaScript is essential for modern web development and used across the tech industry. This Online Course focuses on Compu...
19,Google Computer Science Summer Institute (CSSI),Other,Web Development,Low,Residential,9-12,0.637,https://buildyourfuture.withgoogle.com/programs/computer-science-summer-institute,"Intensive 3-week summer program for graduating high school seniors entering university. Learn programming, web development, and product design from Google engineers. Completely free including travel, ..."
20,Raising Student Voice - Web Development Challenge,Competition,Web Development,Low,Online,7-12,0.635,https://www.raisingstudentvoice.com/competitions/web-dev,"Competition where students design and develop websites or web applications with focus on functionality, design, accessibility, and social impact. This Competition focuses on Web Development, Computer ..."
